Country,y,f,Total installed capacity (GW),Source
DZA,2020,GAS,28.6589,Natural Gas
DZA,2020,HFO,0.43843,Heavy Fuel Oil
DZA,2020,HYD,0.2761,Hydropower
DZA,2020,LFO,0.618388,Light Fuel Oil
DZA,2020,SOL,0.86106825,Solar
DZA,2020,WIN,0.0102,Wind
DZA,2021,GAS,27.810255,Natural Gas
DZA,2021,HFO,0.4165085,Heavy Fuel Oil
DZA,2021,HYD,0.2761,Hydropower
DZA,2021,LFO,0.6074686,Light Fuel Oil
DZA,2021,SOL,1.8468015,Solar
DZA,2021,WIN,0.00969,Wind
DZA,2022,GAS,26.96161,Natural Gas
DZA,2022,HFO,0.394587,Heavy Fuel Oil
DZA,2022,HYD,0.2761,Hydropower
DZA,2022,LFO,0.5965492,Light Fuel Oil
DZA,2022,SOL,2.83253475,Solar
DZA,2022,WIN,0.00918,Wind
DZA,2023,GAS,26.349687005189843,Natural Gas
DZA,2023,HFO,0.3726655,Heavy Fuel Oil
DZA,2023,HYD,0.2761,Hydropower
DZA,2023,LFO,0.5856298,Light Fuel Oil
DZA,2023,SOL,4.318268,Solar
DZA,2023,WIN,0.00867,Wind
DZA,2024,GAS,26.001042005189845,Natural Gas
DZA,2024,HFO,0.350744,Heavy Fuel Oil
DZA,2024,HYD,0.2761,Hydropower
DZA,2024,LFO,0.5747104000000001,Light Fuel Oil
DZA,2024,SOL,5.80400125,Solar
DZA,2024,WIN,0.10102,Wind
DZA,2025,GAS,25.652397005189844,Natural Gas
DZA,2025,HFO,0.3288225,Heavy Fuel Oil
DZA,2025,HYD,0.2761,Hydropower
DZA,2025,LFO,0.4637909999999999,Light Fuel Oil
DZA,2025,SOL,7.2897345,Solar
DZA,2025,WIN,0.35051,Wind
DZA,2026,GAS,25.303752005189843,Natural Gas
DZA,2026,HFO,0.306901,Heavy Fuel Oil
DZA,2026,HYD,0.4261,Hydropower
DZA,2026,LFO,0.3528716,Light Fuel Oil
DZA,2026,SOL,8.77546775,Solar
DZA,2026,WIN,0.6,Wind
DZA,2027,GAS,24.955107005189845,Natural Gas
DZA,2027,HFO,0.2849795,Heavy Fuel Oil
DZA,2027,HYD,0.4261,Hydropower
DZA,2027,LFO,0.2419522,Light Fuel Oil
DZA,2027,SOL,10.261201,Solar
DZA,2027,WIN,0.7000000000000001,Wind
DZA,2028,GAS,24.606462005189844,Natural Gas
DZA,2028,HFO,0.263058,Heavy Fuel Oil
DZA,2028,HYD,0.4261,Hydropower
DZA,2028,LFO,0.1310328,Light Fuel Oil
DZA,2028,SOL,11.74693425,Solar
DZA,2028,WIN,0.9685756499855792,Wind
DZA,2029,GAS,24.02754095470652,Natural Gas
DZA,2029,HFO,0.2411365,Heavy Fuel Oil
DZA,2029,HYD,0.4261,Hydropower
DZA,2029,LFO,0.1201134,Light Fuel Oil
DZA,2029,SOL,13.2326675,Solar
DZA,2029,WIN,1.3185756499855792,Wind
DZA,2030,BIO,1.0,Biomass
DZA,2030,GAS,23.178895954706515,Natural Gas
DZA,2030,HFO,0.219215,Heavy Fuel Oil
DZA,2030,HYD,0.4261,Hydropower
DZA,2030,LFO,0.109194,Light Fuel Oil
DZA,2030,SOL,14.71840075,Solar
DZA,2030,WIN,1.6685756499855793,Wind
