Country,y,f,Total installed capacity (GW),Source
NAM,2020,BIO,0.00025,Biomass
NAM,2020,COA,0.12,Coal
NAM,2020,HFO,0.04795,Heavy Fuel Oil
NAM,2020,HYD,0.353,Hydropower
NAM,2020,LFO,0.0171389225355807,Light Fuel Oil
NAM,2020,SOL,0.05576305,Solar
NAM,2020,WIN,0.006,Wind
NAM,2021,BIO,0.0002375,Biomass
NAM,2021,COA,0.12,Coal
NAM,2021,HFO,0.0455525,Heavy Fuel Oil
NAM,2021,HYD,0.353,Hydropower
NAM,2021,LFO,0.0165489225355807,Light Fuel Oil
NAM,2021,SOL,0.0549611,Solar
NAM,2021,WIN,0.006,Wind
NAM,2022,BIO,0.000225,Biomass
NAM,2022,COA,0.12,Coal
NAM,2022,HFO,0.043155,Heavy Fuel Oil
NAM,2022,HYD,0.353,Hydropower
NAM,2022,LFO,0.0159589225355806,Light Fuel Oil
NAM,2022,SOL,0.05415915,Solar
NAM,2022,WIN,0.006,Wind
NAM,2023,BIO,0.0002125,Biomass
NAM,2023,COA,0.114,Coal
NAM,2023,HFO,0.0407575,Heavy Fuel Oil
NAM,2023,HYD,0.353,Hydropower
NAM,2023,LFO,0.0153689225355807,Light Fuel Oil
NAM,2023,SOL,0.0533572,Solar
NAM,2023,WIN,0.006,Wind
NAM,2024,BIO,0.0002,Biomass
NAM,2024,COA,0.108,Coal
NAM,2024,GAS,0.8064889962047018,Natural Gas
NAM,2024,HFO,0.03836,Heavy Fuel Oil
NAM,2024,HYD,0.353,Hydropower
NAM,2024,LFO,0.0147789225355807,Light Fuel Oil
NAM,2024,SOL,0.0525552499999999,Solar
NAM,2024,WIN,0.006,Wind
NAM,2025,BIO,0.000125,Biomass
NAM,2025,COA,0.102,Coal
NAM,2025,GAS,0.8064889962047018,Natural Gas
NAM,2025,HFO,0.0359625,Heavy Fuel Oil
NAM,2025,HYD,0.4496454466314609,Hydropower
NAM,2025,LFO,0.0141889225355807,Light Fuel Oil
NAM,2025,SOL,0.0517533,Solar
NAM,2025,WIN,0.006,Wind
NAM,2026,BIO,0.0001125,Biomass
NAM,2026,COA,0.096,Coal
NAM,2026,GAS,0.8064889962047018,Natural Gas
NAM,2026,HFO,0.033565,Heavy Fuel Oil
NAM,2026,HYD,0.5266509274628164,Hydropower
NAM,2026,LFO,0.0111020582536269,Light Fuel Oil
NAM,2026,SOL,0.4183181017407892,Solar
NAM,2026,WIN,0.006,Wind
NAM,2027,BIO,0.0001,Biomass
NAM,2027,COA,0.09,Coal
NAM,2027,GAS,0.8064889962047018,Natural Gas
NAM,2027,HFO,0.0311675,Heavy Fuel Oil
NAM,2027,HYD,0.6458863132214626,Hydropower
NAM,2027,LFO,0.0104705575921083,Light Fuel Oil
NAM,2027,SOL,0.8535903091677214,Solar
NAM,2027,WIN,0.006,Wind
NAM,2028,COA,0.084,Coal
NAM,2028,GAS,0.8064889962047018,Natural Gas
NAM,2028,HFO,0.02877,Heavy Fuel Oil
NAM,2028,HYD,0.6612099096253929,Hydropower
NAM,2028,LFO,0.00708,Light Fuel Oil
NAM,2028,SOL,1.8427605946118533,Solar
NAM,2028,WIN,0.006,Wind
NAM,2029,COA,0.078,Coal
NAM,2029,GAS,0.8064889962047018,Natural Gas
NAM,2029,HFO,0.0263725,Heavy Fuel Oil
NAM,2029,HYD,0.6719583351699866,Hydropower
NAM,2029,LFO,0.00649,Light Fuel Oil
NAM,2029,SOL,2.841958644611853,Solar
NAM,2029,WIN,0.006,Wind
NAM,2030,COA,0.072,Coal
NAM,2030,GAS,0.8064889962047018,Natural Gas
NAM,2030,HFO,0.023975,Heavy Fuel Oil
NAM,2030,HYD,0.6719583351699866,Hydropower
NAM,2030,LFO,0.0059,Light Fuel Oil
NAM,2030,SOL,3.841156694611853,Solar
NAM,2030,WIN,0.006,Wind
