Country,y,f,Total installed capacity (GW),Source
NGA,2020,BIO,0.0077,Biomass
NGA,2020,GAS,5.737751,Natural Gas
NGA,2020,HFO,1.658497,Heavy Fuel Oil
NGA,2020,HYD,3.0408,Hydropower
NGA,2020,LFO,0.2923322202981931,Light Fuel Oil
NGA,2020,SOL,0.0172974,Solar
NGA,2020,WIN,0.016175,Wind
NGA,2021,BIO,0.007315,Biomass
NGA,2021,GAS,5.707120872556915,Natural Gas
NGA,2021,HFO,1.58357215,Heavy Fuel Oil
NGA,2021,HYD,3.0408,Hydropower
NGA,2021,LFO,0.2843435202981931,Light Fuel Oil
NGA,2021,SOL,0.0164948,Solar
NGA,2021,WIN,0.015875,Wind
NGA,2022,BIO,0.00693,Biomass
NGA,2022,COA,0.6,Coal
NGA,2022,GAS,6.317508508551307,Natural Gas
NGA,2022,HFO,1.5086473,Heavy Fuel Oil
NGA,2022,HYD,3.0408,Hydropower
NGA,2022,LFO,0.2763548202981931,Light Fuel Oil
NGA,2022,SOL,0.0156922,Solar
NGA,2022,WIN,0.0155749999999999,Wind
NGA,2023,BIO,0.006545,Biomass
NGA,2023,COA,1.2,Coal
NGA,2023,GAS,6.198965850247882,Natural Gas
NGA,2023,HFO,1.43372245,Heavy Fuel Oil
NGA,2023,HYD,3.0408,Hydropower
NGA,2023,LFO,0.2683661202981931,Light Fuel Oil
NGA,2023,SOL,0.0490369989857364,Solar
NGA,2023,WIN,0.015275,Wind
NGA,2024,BIO,0.00616,Biomass
NGA,2024,COA,2.839042903709194,Coal
NGA,2024,GAS,5.912078300247883,Natural Gas
NGA,2024,HFO,1.3587976,Heavy Fuel Oil
NGA,2024,HYD,3.267081521570158,Hydropower
NGA,2024,LFO,0.2603774202981931,Light Fuel Oil
NGA,2024,SOL,0.0681076271846874,Solar
NGA,2024,WIN,0.0149749999999999,Wind
NGA,2025,BIO,0.00385,Biomass
NGA,2025,COA,3.315795644685724,Coal
NGA,2025,GAS,5.625190750247883,Natural Gas
NGA,2025,HFO,1.28387275,Heavy Fuel Oil
NGA,2025,HYD,3.672025593357384,Hydropower
NGA,2025,LFO,0.2523887202981931,Light Fuel Oil
NGA,2025,SOL,0.0719568240195255,Solar
NGA,2025,WIN,0.014675,Wind
NGA,2026,BIO,0.003465,Biomass
NGA,2026,COA,3.890380843270668,Coal
NGA,2026,GAS,5.338303200247883,Natural Gas
NGA,2026,HFO,1.2089479,Heavy Fuel Oil
NGA,2026,HYD,4.077872771843535,Hydropower
NGA,2026,LFO,0.2444000202981931,Light Fuel Oil
NGA,2026,SOL,0.2867225471466127,Solar
NGA,2026,WIN,0.0143749999999999,Wind
NGA,2027,BIO,0.00308,Biomass
NGA,2027,COA,3.890380843270668,Coal
NGA,2027,GAS,5.3906499282704985,Natural Gas
NGA,2027,HFO,1.13402305,Heavy Fuel Oil
NGA,2027,HYD,4.338170495507645,Hydropower
NGA,2027,LFO,0.2038531,Light Fuel Oil
NGA,2027,SOL,0.5563479422049583,Solar
NGA,2027,WIN,0.014075,Wind
NGA,2028,BIO,0.002695,Biomass
NGA,2028,COA,3.890380843270668,Coal
NGA,2028,GAS,5.508351806035321,Natural Gas
NGA,2028,HFO,1.0590982,Heavy Fuel Oil
NGA,2028,HYD,4.604252796672412,Hydropower
NGA,2028,LFO,0.0958644,Light Fuel Oil
NGA,2028,SOL,0.9569819888992068,Solar
NGA,2028,WIN,0.0137749999999999,Wind
NGA,2029,BIO,0.00231,Biomass
NGA,2029,COA,3.890380843270668,Coal
NGA,2029,GAS,5.618334404407534,Natural Gas
NGA,2029,HFO,0.98417335,Heavy Fuel Oil
NGA,2029,HYD,5.000127849995033,Hydropower
NGA,2029,LFO,0.0878757,Light Fuel Oil
NGA,2029,SOL,1.124177539889776,Solar
NGA,2029,WIN,0.013475,Wind
NGA,2030,BIO,0.001925,Biomass
NGA,2030,COA,4.097186225891333,Coal
NGA,2030,GAS,5.331446854407535,Natural Gas
NGA,2030,HFO,0.9092485,Heavy Fuel Oil
NGA,2030,HYD,5.285573553258799,Hydropower
NGA,2030,LFO,0.079887,Light Fuel Oil
NGA,2030,SOL,1.2757133795463138,Solar
NGA,2030,WIN,0.013175,Wind
