Country,y,f,Total installed capacity (GW),Source
GHA,2020,BIO,0.006584,Biomass
GHA,2020,GAS,1.7222,Natural Gas
GHA,2020,HFO,0.928578,Heavy Fuel Oil
GHA,2020,HYD,1.58,Hydropower
GHA,2020,LFO,0.2919315944884023,Light Fuel Oil
GHA,2020,SOL,0.021375,Solar
GHA,2020,WIN,0.225,Wind
GHA,2021,BIO,0.3355778978942057,Biomass
GHA,2021,GAS,1.67109,Natural Gas
GHA,2021,HFO,0.9152591,Heavy Fuel Oil
GHA,2021,HYD,1.58,Hydropower
GHA,2021,LFO,0.2799045944884022,Light Fuel Oil
GHA,2021,SOL,0.02025,Solar
GHA,2021,WIN,0.225,Wind
GHA,2022,BIO,0.4033641767210901,Biomass
GHA,2022,GAS,1.7552358216111004,Natural Gas
GHA,2022,HFO,0.9019402,Heavy Fuel Oil
GHA,2022,HYD,1.58,Hydropower
GHA,2022,LFO,0.2678775944884023,Light Fuel Oil
GHA,2022,SOL,0.019125,Solar
GHA,2022,WIN,0.225,Wind
GHA,2023,BIO,0.4422782117116617,Biomass
GHA,2023,GAS,1.7041258216111004,Natural Gas
GHA,2023,HFO,0.8886213000000001,Heavy Fuel Oil
GHA,2023,HYD,1.9121139998753216,Hydropower
GHA,2023,LFO,0.2558505944884023,Light Fuel Oil
GHA,2023,SOL,0.018,Solar
GHA,2023,WIN,0.225,Wind
GHA,2024,BIO,0.4804562676162973,Biomass
GHA,2024,GAS,1.6530158216111004,Natural Gas
GHA,2024,HFO,0.8753024,Heavy Fuel Oil
GHA,2024,HYD,2.3800000000000003,Hydropower
GHA,2024,LFO,0.2438235944884023,Light Fuel Oil
GHA,2024,SOL,0.016875,Solar
GHA,2024,WIN,0.225,Wind
GHA,2025,BIO,0.6749417486055801,Biomass
GHA,2025,COA,0.5291257716314259,Coal
GHA,2025,GAS,1.6019058216111004,Natural Gas
GHA,2025,HFO,0.8619835,Heavy Fuel Oil
GHA,2025,HYD,2.3800000000000003,Hydropower
GHA,2025,LFO,0.2317965944884023,Light Fuel Oil
GHA,2025,SOL,0.01575,Solar
GHA,2025,WIN,0.225,Wind
GHA,2026,BIO,0.935548892957408,Biomass
GHA,2026,COA,1.1963775255138915,Coal
GHA,2026,GAS,1.5507958216111004,Natural Gas
GHA,2026,HFO,0.8486646,Heavy Fuel Oil
GHA,2026,HYD,2.3800000000000003,Hydropower
GHA,2026,LFO,0.1806927089957754,Light Fuel Oil
GHA,2026,SOL,0.014625,Solar
GHA,2026,WIN,0.225,Wind
GHA,2027,BIO,0.9394773383961764,Biomass
GHA,2027,COA,1.3666689862006414,Coal
GHA,2027,GAS,1.4996858216111004,Natural Gas
GHA,2027,HFO,0.8353457,Heavy Fuel Oil
GHA,2027,HYD,2.3800000000000003,Hydropower
GHA,2027,LFO,0.166492581688715,Light Fuel Oil
GHA,2027,SOL,0.2635,Solar
GHA,2027,WIN,0.225,Wind
GHA,2028,BIO,0.9391481383961764,Biomass
GHA,2028,COA,1.503907703332836,Coal
GHA,2028,GAS,1.4485758216111004,Natural Gas
GHA,2028,HFO,0.8220268,Heavy Fuel Oil
GHA,2028,HYD,2.3800000000000003,Hydropower
GHA,2028,LFO,0.144324,Light Fuel Oil
GHA,2028,SOL,0.512375,Solar
GHA,2028,WIN,0.225,Wind
GHA,2029,BIO,0.9388189383961764,Biomass
GHA,2029,COA,1.650907396890155,Coal
GHA,2029,GAS,1.3974658216111004,Natural Gas
GHA,2029,HFO,0.8087079,Heavy Fuel Oil
GHA,2029,HYD,2.3800000000000003,Hydropower
GHA,2029,LFO,0.132297,Light Fuel Oil
GHA,2029,SOL,0.8012665123124648,Solar
GHA,2029,WIN,0.225,Wind
GHA,2030,BIO,0.9384897383961764,Biomass
GHA,2030,COA,1.8521946342944469,Coal
GHA,2030,GAS,1.3463558216111005,Natural Gas
GHA,2030,HFO,0.795389,Heavy Fuel Oil
GHA,2030,HYD,2.3800000000000003,Hydropower
GHA,2030,LFO,0.12027,Light Fuel Oil
GHA,2030,SOL,1.3598134787788343,Solar
GHA,2030,WIN,0.225,Wind
