Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
MAR,2030.0,BIO,4399.2777812972,Biomass,Bottom-up,High
MAR,2030.0,COA,2176.6111128524,Coal,Bottom-up,High
MAR,2030.0,HFO,1077.3888897508,Heavy Fuel Oil,Bottom-up,High
MAR,2030.0,HYD,11526.6388981102,Hydropower,Bottom-up,High
MAR,2030.0,Imports (DZA),3116.388891382001,Imports (DZA),Bottom-up,High
MAR,2030.0,Imports (ESP),17476.1944584254,Imports (ESP),Bottom-up,High
MAR,2030.0,LFO,110.2500000882,Light Fuel Oil,Bottom-up,High
MAR,2030.0,NGA,42659.2500341274,Natural Gas,Bottom-up,High
MAR,2030.0,SOL,31485.1111362992,Solar,Bottom-up,High
MAR,2030.0,WIN,2447.7222241804,Wind,Bottom-up,High
MAR,2020.0,COA,31003.750024803,Coal,Top-down high,No
MAR,2020.0,HFO,2154.7777795016,Heavy Fuel Oil,Top-down high,No
MAR,2020.0,HYD,4869.027781673,Hydropower,Top-down high,No
MAR,2020.0,Imports (DZA),2819.166668922,Imports (DZA),Top-down high,No
MAR,2020.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,No
MAR,2020.0,LFO,220.4722223986,Light Fuel Oil,Top-down high,No
MAR,2020.0,NGA,1449.6666678264,Natural Gas,Top-down high,No
MAR,2020.0,SOL,4651.8611148326,Solar,Top-down high,No
MAR,2020.0,WIN,1538.6666678976,Wind,Top-down high,No
MAR,2021.0,BIO,439.9166670186,Biomass,Top-down high,No
MAR,2021.0,COA,19439.583348885,Coal,Top-down high,No
MAR,2021.0,HFO,2047.0277794154,Heavy Fuel Oil,Top-down high,No
MAR,2021.0,HYD,4869.027781673,Hydropower,Top-down high,No
MAR,2021.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,No
MAR,2021.0,Imports (ESP),4309.3611145586,Imports (ESP),Top-down high,No
MAR,2021.0,LFO,209.4722223898,Light Fuel Oil,Top-down high,No
MAR,2021.0,NGA,1377.1666677684,Natural Gas,Top-down high,No
MAR,2021.0,SOL,9862.7500078902,Solar,Top-down high,No
MAR,2021.0,WIN,2234.4166684542,Wind,Top-down high,No
MAR,2022.0,BIO,879.8611118150001,Biomass,Top-down high,No
MAR,2022.0,COA,23076.8611295726,Coal,Top-down high,No
MAR,2022.0,HFO,1939.305557107,Heavy Fuel Oil,Top-down high,No
MAR,2022.0,HYD,4869.027781673,Hydropower,Top-down high,No
MAR,2022.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,No
MAR,2022.0,Imports (ESP),6678.3333386760005,Imports (ESP),Top-down high,No
MAR,2022.0,LFO,385.833333642,Light Fuel Oil,Top-down high,No
MAR,2022.0,NGA,1304.6944454882002,Natural Gas,Top-down high,No
MAR,2022.0,SOL,12304.777787621602,Solar,Top-down high,No
MAR,2022.0,WIN,2930.1388912330003,Wind,Top-down high,No
MAR,2023.0,BIO,1319.7777788336,Biomass,Top-down high,No
MAR,2023.0,COA,28162.638911419,Coal,Top-down high,No
MAR,2023.0,HFO,1831.5555570208005,Heavy Fuel Oil,Top-down high,No
MAR,2023.0,HYD,7009.6666722744,Hydropower,Top-down high,No
MAR,2023.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,No
MAR,2023.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,No
MAR,2023.0,LFO,485.5000003884,Light Fuel Oil,Top-down high,No
MAR,2023.0,NGA,1232.222223208,Natural Gas,Top-down high,No
MAR,2023.0,SOL,14746.805567353,Solar,Top-down high,No
MAR,2023.0,WIN,2869.8333356292,Wind,Top-down high,No
MAR,2024.0,BIO,1759.72222363,Biomass,Top-down high,No
MAR,2024.0,COA,29189.9166900186,Coal,Top-down high,No
MAR,2024.0,HFO,1723.8333347124,Heavy Fuel Oil,Top-down high,No
MAR,2024.0,HYD,7009.6666722744,Hydropower,Top-down high,No
MAR,2024.0,Imports (DZA),5867.0000046936,Imports (DZA),Top-down high,No
MAR,2024.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,No
MAR,2024.0,LFO,474.4722226018,Light Fuel Oil,Top-down high,No
MAR,2024.0,NGA,2382.6666685728,Natural Gas,Top-down high,No
MAR,2024.0,SOL,17188.8611248622,Solar,Top-down high,No
MAR,2024.0,WIN,2809.5277800254003,Wind,Top-down high,No
MAR,2025.0,BIO,2199.6388906486,Biomass,Top-down high,No
MAR,2025.0,COA,28283.00002262641,Coal,Top-down high,No
MAR,2025.0,HFO,1635.694445753,Heavy Fuel Oil,Top-down high,No
MAR,2025.0,HYD,8521.6388957062,Hydropower,Top-down high,No
MAR,2025.0,Imports (DZA),2750.9444466452,Imports (DZA),Top-down high,No
MAR,2025.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,No
MAR,2025.0,LFO,388.9166669778001,Light Fuel Oil,Top-down high,No
MAR,2025.0,NGA,7019.4722278378,Natural Gas,Top-down high,No
MAR,2025.0,SOL,19630.8889045936,Solar,Top-down high,No
MAR,2025.0,WIN,2749.2222244216,Wind,Top-down high,No
MAR,2026.0,BIO,2639.5555576672,Biomass,Top-down high,No
MAR,2026.0,COA,27376.0833552342,Coal,Top-down high,No
MAR,2026.0,HFO,3393.2500027146,Heavy Fuel Oil,Top-down high,No
MAR,2026.0,HYD,9446.1388964458,Hydropower,Top-down high,No
MAR,2026.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,No
MAR,2026.0,Imports (ESP),17476.1944584254,Imports (ESP),Top-down high,No
MAR,2026.0,LFO,303.3611113538,Light Fuel Oil,Top-down high,No
MAR,2026.0,NGA,8845.500007076402,Natural Gas,Top-down high,No
MAR,2026.0,SOL,22072.944462102805,Solar,Top-down high,No
MAR,2026.0,WIN,2688.9166688178,Wind,Top-down high,No
MAR,2027.0,BIO,3079.5000024636,Biomass,Top-down high,No
MAR,2027.0,COA,26469.166687842,Coal,Top-down high,No
MAR,2027.0,HFO,2878.6944467474004,Heavy Fuel Oil,Top-down high,No
MAR,2027.0,HYD,9446.1388964458,Hydropower,Top-down high,No
MAR,2027.0,Imports (DZA),5257.6111153172,Imports (DZA),Top-down high,No
MAR,2027.0,Imports (ESP),17476.1944584254,Imports (ESP),Top-down high,No
MAR,2027.0,LFO,217.8333335076,Light Fuel Oil,Top-down high,No
MAR,2027.0,NGA,11722.7222316004,Natural Gas,Top-down high,No
MAR,2027.0,SOL,24515.000019612,Solar,Top-down high,No
MAR,2027.0,WIN,2628.6388909918005,Wind,Top-down high,No
MAR,2028.0,BIO,3519.4166694822,Biomass,Top-down high,No
MAR,2028.0,COA,25562.250020449803,Coal,Top-down high,No
MAR,2028.0,HFO,2546.0833353702,Heavy Fuel Oil,Top-down high,No
MAR,2028.0,HYD,9446.1388964458,Hydropower,Top-down high,No
MAR,2028.0,Imports (DZA),4702.5833370954,Imports (DZA),Top-down high,No
MAR,2028.0,Imports (ESP),17476.1944584254,Imports (ESP),Top-down high,No
MAR,2028.0,LFO,132.2777778836,Light Fuel Oil,Top-down high,No
MAR,2028.0,NGA,14250.277789178,Natural Gas,Top-down high,No
MAR,2028.0,SOL,26957.0000215656,Solar,Top-down high,No
MAR,2028.0,WIN,2568.3333353880003,Wind,Top-down high,No
MAR,2029.0,BIO,3959.3333365008,Biomass,Top-down high,No
MAR,2029.0,COA,24914.916686598604,Coal,Top-down high,No
MAR,2029.0,HFO,2075.5277794382,Heavy Fuel Oil,Top-down high,No
MAR,2029.0,HYD,9446.1388964458,Hydropower,Top-down high,No
MAR,2029.0,Imports (DZA),4305.3611145554005,Imports (DZA),Top-down high,No
MAR,2029.0,Imports (ESP),17476.1944584254,Imports (ESP),Top-down high,No
MAR,2029.0,LFO,121.2777778748,Light Fuel Oil,Top-down high,No
MAR,2029.0,NGA,16423.9166798058,Natural Gas,Top-down high,No
MAR,2029.0,SOL,29399.055579074804,Solar,Top-down high,No
MAR,2029.0,WIN,2508.0277797842,Wind,Top-down high,No
MAR,2030.0,BIO,4399.2777812972,Biomass,Top-down high,No
MAR,2030.0,COA,24008.0000192064,Coal,Top-down high,No
MAR,2030.0,HFO,3515.0555583676,Heavy Fuel Oil,Top-down high,No
MAR,2030.0,HYD,11526.6388981102,Hydropower,Top-down high,No
MAR,2030.0,Imports (DZA),1759.2500014073998,Imports (DZA),Top-down high,No
MAR,2030.0,Imports (ESP),17476.1944584254,Imports (ESP),Top-down high,No
MAR,2030.0,LFO,110.2500000882,Light Fuel Oil,Top-down high,No
MAR,2030.0,NGA,18718.777792752804,Natural Gas,Top-down high,No
MAR,2030.0,SOL,31841.0833588062,Solar,Top-down high,No
MAR,2030.0,WIN,2447.7222241804,Wind,Top-down high,No
MAR,2020.0,COA,7596.8611171886,Coal,Top-down high,High
MAR,2020.0,HFO,10773.888897508,Heavy Fuel Oil,Top-down high,High
MAR,2020.0,HYD,4869.027781673,Hydropower,Top-down high,High
MAR,2020.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,High
MAR,2020.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,High
MAR,2020.0,LFO,220.4722223986,Light Fuel Oil,Top-down high,High
MAR,2020.0,NGA,13064.7777882296,Natural Gas,Top-down high,High
MAR,2020.0,SOL,4651.8611148326,Solar,Top-down high,High
MAR,2020.0,WIN,1538.6666678976,Wind,Top-down high,High
MAR,2021.0,BIO,439.9166670186,Biomass,Top-down high,High
MAR,2021.0,COA,3627.6666695688,Coal,Top-down high,High
MAR,2021.0,HFO,2461.944446414,Heavy Fuel Oil,Top-down high,High
MAR,2021.0,HYD,4869.027781673,Hydropower,Top-down high,High
MAR,2021.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,High
MAR,2021.0,Imports (ESP),3522.8888917072,Imports (ESP),Top-down high,High
MAR,2021.0,LFO,209.4722223898,Light Fuel Oil,Top-down high,High
MAR,2021.0,NGA,16302.3055685974,Natural Gas,Top-down high,High
MAR,2021.0,SOL,9506.7777853832,Solar,Top-down high,High
MAR,2021.0,WIN,2234.4166684542,Wind,Top-down high,High
MAR,2022.0,BIO,879.8611118150001,Biomass,Top-down high,High
MAR,2022.0,COA,3627.6666695688,Coal,Top-down high,High
MAR,2022.0,HFO,2700.3333354936,Heavy Fuel Oil,Top-down high,High
MAR,2022.0,HYD,4869.027781673,Hydropower,Top-down high,High
MAR,2022.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,High
MAR,2022.0,Imports (ESP),5909.7500047278,Imports (ESP),Top-down high,High
MAR,2022.0,LFO,385.833333642,Light Fuel Oil,Top-down high,High
MAR,2022.0,NGA,19539.8055711874,Natural Gas,Top-down high,High
MAR,2022.0,SOL,11948.8055651146,Solar,Top-down high,High
MAR,2022.0,WIN,2930.1388912330003,Wind,Top-down high,High
MAR,2023.0,BIO,1319.7777788336,Biomass,Top-down high,High
MAR,2023.0,COA,3446.2777805348,Coal,Top-down high,High
MAR,2023.0,HFO,5002.805559557801,Heavy Fuel Oil,Top-down high,High
MAR,2023.0,HYD,7365.638894781399,Hydropower,Top-down high,High
MAR,2023.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,High
MAR,2023.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,High
MAR,2023.0,LFO,485.5000003884,Light Fuel Oil,Top-down high,High
MAR,2023.0,NGA,22777.3333515552,Natural Gas,Top-down high,High
MAR,2023.0,SOL,14390.833344846002,Solar,Top-down high,High
MAR,2023.0,WIN,2869.8333356292,Wind,Top-down high,High
MAR,2024.0,BIO,1759.72222363,Biomass,Top-down high,High
MAR,2024.0,COA,3264.8888915008,Coal,Top-down high,High
MAR,2024.0,HFO,3891.8333364468,Heavy Fuel Oil,Top-down high,High
MAR,2024.0,HYD,7365.638894781399,Hydropower,Top-down high,High
MAR,2024.0,Imports (DZA),5991.8333381268,Imports (DZA),Top-down high,High
MAR,2024.0,Imports (ESP),11650.8055648762,Imports (ESP),Top-down high,High
MAR,2024.0,LFO,474.4722226018,Light Fuel Oil,Top-down high,High
MAR,2024.0,NGA,26014.8333541452,Natural Gas,Top-down high,High
MAR,2024.0,SOL,16832.8889023552,Solar,Top-down high,High
MAR,2024.0,WIN,2809.5277800254003,Wind,Top-down high,High
