Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
GNQ,2020,GAS,0.19679178108734,Natural Gas,Bottom-up,No
GNQ,2020,HFO,0.02984,Heavy Fuel Oil,Bottom-up,No
GNQ,2020,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2020,LFO,0.1580043364059387,Light Fuel Oil,Bottom-up,No
GNQ,2020,SOL,0.3525079315732637,Solar,Bottom-up,No
GNQ,2021,GAS,0.18944678108734,Natural Gas,Bottom-up,No
GNQ,2021,HFO,0.028348,Heavy Fuel Oil,Bottom-up,No
GNQ,2021,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2021,LFO,0.1575793364059386,Light Fuel Oil,Bottom-up,No
GNQ,2021,SOL,0.3664932636445237,Solar,Bottom-up,No
GNQ,2022,GAS,0.18210178108734,Natural Gas,Bottom-up,No
GNQ,2022,HFO,0.026856,Heavy Fuel Oil,Bottom-up,No
GNQ,2022,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2022,LFO,0.1571543364059386,Light Fuel Oil,Bottom-up,No
GNQ,2022,SOL,0.4601179573688328,Solar,Bottom-up,No
GNQ,2023,GAS,0.17475678108734,Natural Gas,Bottom-up,No
GNQ,2023,HFO,0.025364,Heavy Fuel Oil,Bottom-up,No
GNQ,2023,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2023,LFO,0.1567293364059387,Light Fuel Oil,Bottom-up,No
GNQ,2023,SOL,0.5654125141106919,Solar,Bottom-up,No
GNQ,2024,GAS,0.182682109010399,Natural Gas,Bottom-up,No
GNQ,2024,HFO,0.023872,Heavy Fuel Oil,Bottom-up,No
GNQ,2024,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2024,LFO,0.1563043364059387,Light Fuel Oil,Bottom-up,No
GNQ,2024,SOL,0.6200970085175161,Solar,Bottom-up,No
GNQ,2025,GAS,0.1910518880369917,Natural Gas,Bottom-up,No
GNQ,2025,HFO,0.02238,Heavy Fuel Oil,Bottom-up,No
GNQ,2025,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2025,LFO,0.0809961653328721,Light Fuel Oil,Bottom-up,No
GNQ,2025,SOL,0.6731247061930311,Solar,Bottom-up,No
GNQ,2026,GAS,0.1990785456878857,Natural Gas,Bottom-up,No
GNQ,2026,HFO,0.020888,Heavy Fuel Oil,Bottom-up,No
GNQ,2026,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2026,LFO,0.080571165332872,Light Fuel Oil,Bottom-up,No
GNQ,2026,SOL,0.7246701275048314,Solar,Bottom-up,No
GNQ,2027,GAS,0.2056699644242986,Natural Gas,Bottom-up,No
GNQ,2027,HFO,0.019396,Heavy Fuel Oil,Bottom-up,No
GNQ,2027,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2027,LFO,0.0801461653328721,Light Fuel Oil,Bottom-up,No
GNQ,2027,SOL,0.7699499672194077,Solar,Bottom-up,No
GNQ,2028,GAS,0.2111121537934044,Natural Gas,Bottom-up,No
GNQ,2028,HFO,0.017904,Heavy Fuel Oil,Bottom-up,No
GNQ,2028,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2028,LFO,0.0051,Light Fuel Oil,Bottom-up,No
GNQ,2028,SOL,0.8189414941826627,Solar,Bottom-up,No
GNQ,2029,GAS,0.2175944885432464,Natural Gas,Bottom-up,No
GNQ,2029,HFO,0.016412,Heavy Fuel Oil,Bottom-up,No
GNQ,2029,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2029,LFO,0.004675,Light Fuel Oil,Bottom-up,No
GNQ,2029,SOL,0.8641965550157067,Solar,Bottom-up,No
GNQ,2030,GAS,0.2128720261348974,Natural Gas,Bottom-up,No
GNQ,2030,HFO,0.01492,Heavy Fuel Oil,Bottom-up,No
GNQ,2030,HYD,0.12735,Hydropower,Bottom-up,No
GNQ,2030,LFO,0.00425,Light Fuel Oil,Bottom-up,No
GNQ,2030,SOL,0.9455683848112418,Solar,Bottom-up,No
GNQ,2020,GAS,0.179239343168855,Natural Gas,Bottom-up,High
GNQ,2020,HFO,0.02984,Heavy Fuel Oil,Bottom-up,High
GNQ,2020,HYD,0.12735,Hydropower,Bottom-up,High
GNQ,2020,LFO,0.1580043364059391,Light Fuel Oil,Bottom-up,High
GNQ,2020,SOL,0.4547454819534427,Solar,Bottom-up,High
GNQ,2021,GAS,0.174814896736404,Natural Gas,Bottom-up,High
GNQ,2021,HFO,0.028348,Heavy Fuel Oil,Bottom-up,High
GNQ,2021,HYD,0.12735,Hydropower,Bottom-up,High
GNQ,2021,LFO,0.1575793364059391,Light Fuel Oil,Bottom-up,High
GNQ,2021,SOL,0.4621158053878039,Solar,Bottom-up,High
GNQ,2022,GAS,0.1695677622778492,Natural Gas,Bottom-up,High
GNQ,2022,HFO,0.026856,Heavy Fuel Oil,Bottom-up,High
GNQ,2022,HYD,0.12735,Hydropower,Bottom-up,High
GNQ,2022,LFO,0.1571543364059391,Light Fuel Oil,Bottom-up,High
GNQ,2022,SOL,0.5160924704670153,Solar,Bottom-up,High
GNQ,2023,GAS,0.1622227622778492,Natural Gas,Bottom-up,High
GNQ,2023,HFO,0.025364,Heavy Fuel Oil,Bottom-up,High
GNQ,2023,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2023,LFO,0.1567293364059391,Light Fuel Oil,Bottom-up,High
GNQ,2023,SOL,0.5162939658780457,Solar,Bottom-up,High
GNQ,2024,GAS,0.1548777622778492,Natural Gas,Bottom-up,High
GNQ,2024,HFO,0.023872,Heavy Fuel Oil,Bottom-up,High
GNQ,2024,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2024,LFO,0.1563043364059391,Light Fuel Oil,Bottom-up,High
GNQ,2024,SOL,0.5726231380363032,Solar,Bottom-up,High
GNQ,2025,GAS,0.1475327622778492,Natural Gas,Bottom-up,High
GNQ,2025,HFO,0.02238,Heavy Fuel Oil,Bottom-up,High
GNQ,2025,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2025,LFO,0.080996165332873,Light Fuel Oil,Bottom-up,High
GNQ,2025,SOL,0.6720955755317376,Solar,Bottom-up,High
GNQ,2026,GAS,0.1401877622778492,Natural Gas,Bottom-up,High
GNQ,2026,HFO,0.020888,Heavy Fuel Oil,Bottom-up,High
GNQ,2026,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2026,LFO,0.080571165332873,Light Fuel Oil,Bottom-up,High
GNQ,2026,SOL,0.7740820509955085,Solar,Bottom-up,High
GNQ,2027,GAS,0.1328427622778492,Natural Gas,Bottom-up,High
GNQ,2027,HFO,0.019396,Heavy Fuel Oil,Bottom-up,High
GNQ,2027,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2027,LFO,0.080146165332873,Light Fuel Oil,Bottom-up,High
GNQ,2027,SOL,0.9060709218359982,Solar,Bottom-up,High
GNQ,2028,GAS,0.1254977622778492,Natural Gas,Bottom-up,High
GNQ,2028,HFO,0.017904,Heavy Fuel Oil,Bottom-up,High
GNQ,2028,HYD,0.2097555665295633,Hydropower,Bottom-up,High
GNQ,2028,LFO,0.0051,Light Fuel Oil,Bottom-up,High
