Country,y,f,Total installed capacity (GW),Source
BFA,2020,BIO,0.00245,Biomass
BFA,2020,HFO,0.162424,Heavy Fuel Oil
BFA,2020,HYD,0.02622,Hydropower
BFA,2020,LFO,0.152827,Light Fuel Oil
BFA,2020,SOL,0.4051949999999999,Solar
BFA,2021,BIO,0.0023275,Biomass
BFA,2021,HFO,0.1543028,Heavy Fuel Oil
BFA,2021,HYD,0.02622,Hydropower
BFA,2021,LFO,0.14518565,Light Fuel Oil
BFA,2021,SOL,0.4047699999999999,Solar
BFA,2022,BIO,0.002205,Biomass
BFA,2022,HFO,0.1461816,Heavy Fuel Oil
BFA,2022,HYD,0.0471199999999999,Hydropower
BFA,2022,LFO,0.1375443,Light Fuel Oil
BFA,2022,SOL,0.4043449999999999,Solar
BFA,2023,BIO,0.0020825,Biomass
BFA,2023,HFO,0.1380604,Heavy Fuel Oil
BFA,2023,HYD,0.0611199999999999,Hydropower
BFA,2023,LFO,0.12990295,Light Fuel Oil
BFA,2023,SOL,0.40392,Solar
BFA,2024,BIO,0.00196,Biomass
BFA,2024,HFO,0.1299392,Heavy Fuel Oil
BFA,2024,HYD,0.0611199999999999,Hydropower
BFA,2024,LFO,0.1222616,Light Fuel Oil
BFA,2024,SOL,0.403495,Solar
BFA,2025,BIO,0.001225,Biomass
BFA,2025,HFO,0.121818,Heavy Fuel Oil
BFA,2025,HYD,0.0611199999999999,Hydropower
BFA,2025,LFO,0.11462025,Light Fuel Oil
BFA,2025,SOL,0.4240434548578566,Solar
BFA,2026,BIO,0.0011025,Biomass
BFA,2026,HFO,0.1136968,Heavy Fuel Oil
BFA,2026,HYD,0.0611199999999999,Hydropower
BFA,2026,LFO,0.1069789,Light Fuel Oil
BFA,2026,SOL,0.6214505034816655,Solar
BFA,2027,BIO,0.00098,Biomass
BFA,2027,HFO,0.1055756,Heavy Fuel Oil
BFA,2027,HYD,0.0611199999999999,Hydropower
BFA,2027,LFO,0.09933755,Light Fuel Oil
BFA,2027,SOL,0.6439870810215069,Solar
BFA,2028,BIO,0.0008575,Biomass
BFA,2028,HFO,0.0974544,Heavy Fuel Oil
BFA,2028,HYD,0.0611199999999999,Hydropower
BFA,2028,LFO,0.0916962,Light Fuel Oil
BFA,2028,SOL,0.6667832769857285,Solar
BFA,2029,BIO,0.000735,Biomass
BFA,2029,HFO,0.0893332,Heavy Fuel Oil
BFA,2029,HYD,0.0611199999999999,Hydropower
BFA,2029,LFO,0.08405485,Light Fuel Oil
BFA,2029,SOL,0.7269827999993396,Solar
BFA,2030,BIO,0.0006125,Biomass
BFA,2030,HFO,0.081212,Heavy Fuel Oil
BFA,2030,HYD,0.0611199999999999,Hydropower
BFA,2030,LFO,0.0764135,Light Fuel Oil
BFA,2030,SOL,0.8918333967392105,Solar
