Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
UGA,2020.0,HYD,6127.3888937908,Hydropower,Bottom-up,No
UGA,2020.0,LFO,139.2500001114,Light Fuel Oil,Bottom-up,No
UGA,2020.0,SOL,66.3611111642,Solar,Bottom-up,No
UGA,2021.0,BIO,229.444444628,Biomass,Bottom-up,No
UGA,2021.0,HYD,6127.3888937908,Hydropower,Bottom-up,No
UGA,2021.0,LFO,132.361111217,Light Fuel Oil,Bottom-up,No
UGA,2021.0,SOL,64.88888894080002,Solar,Bottom-up,No
UGA,2022.0,BIO,217.361111285,Biomass,Bottom-up,No
UGA,2022.0,HYD,6127.3888937908,Hydropower,Bottom-up,No
UGA,2022.0,LFO,125.416666767,Light Fuel Oil,Bottom-up,No
UGA,2022.0,SOL,63.416666717400005,Solar,Bottom-up,No
UGA,2023.0,BIO,205.277777942,Biomass,Bottom-up,No
UGA,2023.0,HFO,134.1944445518,Heavy Fuel Oil,Bottom-up,No
UGA,2023.0,HYD,6127.3888937908,Hydropower,Bottom-up,No
UGA,2023.0,Imports (KEN),362.9444447348,Imports (KEN),Bottom-up,No
UGA,2023.0,Imports (RWA),110.0555556436,Imports (RWA),Bottom-up,No
UGA,2023.0,LFO,118.4444445392,Light Fuel Oil,Bottom-up,No
UGA,2023.0,SOL,61.94444449400001,Solar,Bottom-up,No
UGA,2024.0,BIO,193.2222223768,Biomass,Bottom-up,No
UGA,2024.0,HFO,386.0555558644,Heavy Fuel Oil,Bottom-up,No
UGA,2024.0,HYD,6127.3888937908,Hydropower,Bottom-up,No
UGA,2024.0,Imports (KEN),1264.9444454564,Imports (KEN),Bottom-up,No
UGA,2024.0,LFO,111.5000000892,Light Fuel Oil,Bottom-up,No
UGA,2024.0,NGA,197.1944446022,Natural Gas,Bottom-up,No
UGA,2024.0,SOL,60.44444449280001,Solar,Bottom-up,No
UGA,2025.0,BIO,120.7500000966,Biomass,Bottom-up,No
UGA,2025.0,GEO,744.6111117068001,Geothermal,Bottom-up,No
UGA,2025.0,HFO,361.9166669562,Heavy Fuel Oil,Bottom-up,No
UGA,2025.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2025.0,Imports (KEN),793.9444450796001,Imports (KEN),Bottom-up,No
UGA,2025.0,LFO,104.5277778614,Light Fuel Oil,Bottom-up,No
UGA,2025.0,NGA,999.0833341326,Natural Gas,Bottom-up,No
UGA,2025.0,SOL,58.97222226940001,Solar,Bottom-up,No
UGA,2026.0,BIO,108.6666667536,Biomass,Bottom-up,No
UGA,2026.0,GEO,1489.1944456358,Geothermal,Bottom-up,No
UGA,2026.0,HFO,337.777778048,Heavy Fuel Oil,Bottom-up,No
UGA,2026.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2026.0,Imports (KEN),1541.6666679,Imports (KEN),Bottom-up,No
UGA,2026.0,LFO,97.5555556336,Light Fuel Oil,Bottom-up,No
UGA,2026.0,NGA,1276.4444454656002,Natural Gas,Bottom-up,No
UGA,2026.0,SOL,57.500000046,Solar,Bottom-up,No
UGA,2027.0,BIO,96.6111111884,Biomass,Bottom-up,No
UGA,2027.0,GEO,2233.8055573426004,Geothermal,Bottom-up,No
UGA,2027.0,HFO,313.6666669176,Heavy Fuel Oil,Bottom-up,No
UGA,2027.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2027.0,Imports (KEN),814.305556207,Imports (KEN),Bottom-up,No
UGA,2027.0,Imports (RWA),21.527777795,Imports (RWA),Bottom-up,No
UGA,2027.0,LFO,90.61111118360002,Light Fuel Oil,Bottom-up,No
UGA,2027.0,NGA,1276.4444454656002,Natural Gas,Bottom-up,No
UGA,2027.0,SOL,56.02777782260001,Solar,Bottom-up,No
UGA,2028.0,BIO,84.52777784540001,Biomass,Bottom-up,No
UGA,2028.0,GEO,2978.3888912716,Geothermal,Bottom-up,No
UGA,2028.0,HFO,289.52777800940004,Heavy Fuel Oil,Bottom-up,No
UGA,2028.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2028.0,Imports (KEN),918.5555562904,Imports (KEN),Bottom-up,No
UGA,2028.0,LFO,83.55555562240001,Light Fuel Oil,Bottom-up,No
UGA,2028.0,NGA,1302.8055565978002,Natural Gas,Bottom-up,No
UGA,2028.0,SOL,54.555555599200005,Solar,Bottom-up,No
UGA,2029.0,BIO,72.4444445024,Biomass,Bottom-up,No
UGA,2029.0,GEO,3350.6944471250004,Geothermal,Bottom-up,No
UGA,2029.0,HFO,265.416666879,Heavy Fuel Oil,Bottom-up,No
UGA,2029.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2029.0,Imports (KEN),893.0833340478,Imports (KEN),Bottom-up,No
UGA,2029.0,LFO,76.5833333946,Light Fuel Oil,Bottom-up,No
UGA,2029.0,NGA,1516.2222234352,Natural Gas,Bottom-up,No
UGA,2029.0,SOL,53.08333337580001,Solar,Bottom-up,No
UGA,2030.0,BIO,60.38888893720001,Biomass,Bottom-up,No
UGA,2030.0,GEO,3350.6944471250004,Geothermal,Bottom-up,No
UGA,2030.0,HFO,241.27777797080003,Heavy Fuel Oil,Bottom-up,No
UGA,2030.0,HYD,6138.6388937998,Hydropower,Bottom-up,No
UGA,2030.0,Imports (KEN),1313.1111121616,Imports (KEN),Bottom-up,No
UGA,2030.0,LFO,69.6388889446,Light Fuel Oil,Bottom-up,No
UGA,2030.0,NGA,1740.6388902814,Natural Gas,Bottom-up,No
UGA,2030.0,SOL,51.61111115240001,Solar,Bottom-up,No
UGA,2020.0,BIO,97.3888889668,Biomass,Bottom-up,High
UGA,2020.0,HYD,6127.3888937908,Hydropower,Bottom-up,High
UGA,2020.0,LFO,139.2500001114,Light Fuel Oil,Bottom-up,High
UGA,2020.0,SOL,66.3611111642,Solar,Bottom-up,High
UGA,2021.0,BIO,229.444444628,Biomass,Bottom-up,High
UGA,2021.0,HYD,6127.3888937908,Hydropower,Bottom-up,High
UGA,2021.0,LFO,132.361111217,Light Fuel Oil,Bottom-up,High
UGA,2021.0,SOL,64.88888894080002,Solar,Bottom-up,High
UGA,2022.0,BIO,217.361111285,Biomass,Bottom-up,High
UGA,2022.0,HYD,6127.3888937908,Hydropower,Bottom-up,High
UGA,2022.0,LFO,125.3888889892,Light Fuel Oil,Bottom-up,High
UGA,2022.0,SOL,63.416666717400005,Solar,Bottom-up,High
UGA,2023.0,BIO,205.277777942,Biomass,Bottom-up,High
UGA,2023.0,HYD,6127.3888937908,Hydropower,Bottom-up,High
UGA,2023.0,Imports (KEN),2280.3888907132005,Imports (KEN),Bottom-up,High
UGA,2023.0,LFO,118.4166667614,Light Fuel Oil,Bottom-up,High
UGA,2023.0,SOL,61.94444449400001,Solar,Bottom-up,High
UGA,2024.0,BIO,193.2222223768,Biomass,Bottom-up,High
UGA,2024.0,GEO,744.6111117068001,Geothermal,Bottom-up,High
UGA,2024.0,HYD,6127.3888937908,Hydropower,Bottom-up,High
UGA,2024.0,Imports (KEN),461.9722225918,Imports (KEN),Bottom-up,High
UGA,2024.0,Imports (RWA),145.22222233840003,Imports (RWA),Bottom-up,High
UGA,2024.0,LFO,111.4722223114,Light Fuel Oil,Bottom-up,High
UGA,2024.0,SOL,60.44444449280001,Solar,Bottom-up,High
UGA,2025.0,BIO,120.7500000966,Biomass,Bottom-up,High
UGA,2025.0,GEO,1489.1944456358,Geothermal,Bottom-up,High
UGA,2025.0,HYD,6138.6388937998,Hydropower,Bottom-up,High
UGA,2025.0,Imports (KEN),1011.5555563648,Imports (KEN),Bottom-up,High
UGA,2025.0,Imports (RWA),355.5277780622,Imports (RWA),Bottom-up,High
UGA,2025.0,LFO,104.5000000836,Light Fuel Oil,Bottom-up,High
UGA,2025.0,SOL,58.97222226940001,Solar,Bottom-up,High
UGA,2026.0,BIO,108.6666667536,Biomass,Bottom-up,High
UGA,2026.0,GEO,2233.8055573426004,Geothermal,Bottom-up,High
UGA,2026.0,HYD,6138.6388937998,Hydropower,Bottom-up,High
UGA,2026.0,Imports (KEN),2614.3333354248,Imports (KEN),Bottom-up,High
UGA,2026.0,Imports (RWA),356.50000028520003,Imports (RWA),Bottom-up,High
UGA,2026.0,LFO,97.5277778558,Light Fuel Oil,Bottom-up,High
UGA,2026.0,SOL,57.500000046,Solar,Bottom-up,High
UGA,2027.0,BIO,96.6111111884,Biomass,Bottom-up,High
UGA,2027.0,GEO,2978.3888912716,Geothermal,Bottom-up,High
