Country,y,f,Total annual demand (GWh),Demand type
LBY,2020.0,EL3E,19157.416681992603,Current electrified
LBY,2021.0,EL3E,21895.694461961,Current electrified
LBY,2022.0,EL3E,24611.2777974668,Current electrified
LBY,2023.0,EL3E,27308.1389107354,Current electrified
LBY,2024.0,EL3E,29990.3611351034,Current electrified
LBY,2025.0,EL3E,31588.3611363818,Current electrified
LBY,2026.0,EL3E,33177.500026542,Current electrified
LBY,2027.0,EL3E,34757.4166944726,Current electrified
LBY,2028.0,EL3E,36329.05558461881,Current electrified
LBY,2029.0,EL3E,37893.8333636484,Current electrified
LBY,2030.0,EL3E,39540.555587188006,Current electrified
LBY,2021.0,EGYEL1,1414.7500011318,Exports (EGY)
LBY,2022.0,EGYEL1,1414.7500011318,Exports (EGY)
LBY,2028.0,EGYEL1,399.72222254200005,Exports (EGY)
LBY,2029.0,EGYEL1,1231.9722232078002,Exports (EGY)
LBY,2030.0,EGYEL1,399.72222254200005,Exports (EGY)
