Country,y,f,Total annual production (GWh),Source
ZMB,2020.0,BIO,170.19444458060002,Biomass
ZMB,2020.0,COA,66.2222222752,Coal
ZMB,2020.0,HFO,273.9444446636,Heavy Fuel Oil
ZMB,2020.0,HYD,12733.888899076,Hydropower
ZMB,2020.0,Imports (COD),2163.7222239532,Imports (COD)
ZMB,2020.0,Imports (TZA),4410.6666701952,Imports (TZA)
ZMB,2020.0,LFO,12.9722222326,Light Fuel Oil
ZMB,2020.0,SOL,6.138888893800001,Solar
ZMB,2021.0,BIO,9346.6944519218,Biomass
ZMB,2021.0,HFO,260.2500002082,Heavy Fuel Oil
ZMB,2021.0,HYD,12736.805565745,Hydropower
ZMB,2021.0,Imports (COD),1835.4722236906,Imports (COD)
ZMB,2021.0,Imports (TZA),2789.5000022316,Imports (TZA)
ZMB,2021.0,LFO,12.3055555654,Light Fuel Oil
ZMB,2021.0,SOL,5.972222227,Solar
ZMB,2022.0,BIO,9338.194451915,Biomass
ZMB,2022.0,HFO,246.5555557528,Heavy Fuel Oil
ZMB,2022.0,HYD,12736.805565745,Hydropower
ZMB,2022.0,Imports (COD),1014.583334145,Imports (COD)
ZMB,2022.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2022.0,LFO,11.666666676000002,Light Fuel Oil
ZMB,2022.0,SOL,5.833333338,Solar
ZMB,2023.0,BIO,9329.666674130402,Biomass
ZMB,2023.0,HFO,232.8611112974,Heavy Fuel Oil
ZMB,2023.0,HYD,17875.222236522404,Hydropower
ZMB,2023.0,Imports (TZA),1729.4166680502,Imports (TZA)
ZMB,2023.0,LFO,11.0277777866,Light Fuel Oil
ZMB,2023.0,SOL,5.666666671200001,Solar
ZMB,2024.0,BIO,9321.166674123602,Biomass
ZMB,2024.0,HFO,219.166666842,Heavy Fuel Oil
ZMB,2024.0,HYD,20963.5277945486,Hydropower
ZMB,2024.0,Imports (TZA),2126.3333350344,Imports (TZA)
ZMB,2024.0,LFO,10.3611111194,Light Fuel Oil
ZMB,2024.0,SOL,515.3055559678,Solar
ZMB,2025.0,BIO,9270.1111185272,Biomass
ZMB,2025.0,HFO,205.4722223866,Heavy Fuel Oil
ZMB,2025.0,HYD,21575.8055728162,Hydropower
ZMB,2025.0,Imports (TZA),2414.5000019316,Imports (TZA)
ZMB,2025.0,LFO,9.722222230000002,Light Fuel Oil
ZMB,2025.0,SOL,1035.5833341618,Solar
ZMB,2026.0,BIO,9261.583340742602,Biomass
ZMB,2026.0,HFO,191.7777779312,Heavy Fuel Oil
ZMB,2026.0,HYD,22189.6666844184,Hydropower
ZMB,2026.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2026.0,LFO,9.0833333406,Light Fuel Oil
ZMB,2026.0,SOL,1155.8888898136,Solar
ZMB,2027.0,BIO,9253.0833407358,Biomass
ZMB,2027.0,HFO,178.0833334758,Heavy Fuel Oil
ZMB,2027.0,HYD,22189.6666844184,Hydropower
ZMB,2027.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2027.0,LFO,8.4166666734,Light Fuel Oil
ZMB,2027.0,SOL,1286.7222232516,Solar
ZMB,2028.0,BIO,9244.583340729,Biomass
ZMB,2028.0,HFO,164.3611112426,Heavy Fuel Oil
ZMB,2028.0,HYD,22189.6666844184,Hydropower
ZMB,2028.0,Imports (COD),688.6944449954,Imports (COD)
ZMB,2028.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2028.0,LFO,7.777777784,Light Fuel Oil
ZMB,2028.0,SOL,1428.0277789202,Solar
ZMB,2029.0,BIO,9236.0555629444,Biomass
ZMB,2029.0,HFO,150.6666667872,Heavy Fuel Oil
ZMB,2029.0,HYD,22189.6666844184,Hydropower
ZMB,2029.0,Imports (COD),1007.916667473,Imports (COD)
ZMB,2029.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2029.0,LFO,7.138888894600001,Light Fuel Oil
ZMB,2029.0,SOL,1579.3333345968,Solar
ZMB,2030.0,BIO,9227.5555629376,Biomass
ZMB,2030.0,HFO,136.9722223318,Heavy Fuel Oil
ZMB,2030.0,HYD,22189.6666844184,Hydropower
ZMB,2030.0,Imports (COD),1327.1388899506,Imports (COD)
ZMB,2030.0,Imports (TZA),2756.666668872,Imports (TZA)
ZMB,2030.0,LFO,6.4722222274000005,Light Fuel Oil
ZMB,2030.0,SOL,1741.8333347268,Solar
