Country,y,f,Total annual production (GWh),Source
ZWE,2020.0,BIO,387.222222532,Biomass
ZWE,2020.0,COA,3069.1666691220003,Coal
ZWE,2020.0,HYD,4148.8611144302,Hydropower
ZWE,2020.0,Imports (ZMB),2730.2777799620003,Imports (ZMB)
ZWE,2020.0,SOL,9.2777777852,Solar
ZWE,2021.0,BIO,367.8611114054,Biomass
ZWE,2021.0,COA,1568.2500012546,Coal
ZWE,2021.0,HYD,4148.8611144302,Hydropower
ZWE,2021.0,Imports (MOZ),629.6666671704,Imports (MOZ)
ZWE,2021.0,Imports (ZMB),4769.166670482,Imports (ZMB)
ZWE,2021.0,SOL,9.2777777852,Solar
ZWE,2022.0,BIO,348.5000002788,Biomass
ZWE,2022.0,COA,1568.2500012546,Coal
ZWE,2022.0,HYD,4148.8611144302,Hydropower
ZWE,2022.0,Imports (MOZ),263.8611113222,Imports (MOZ)
ZWE,2022.0,Imports (ZMB),3292.9722248566,Imports (ZMB)
ZWE,2022.0,SOL,9.2777777852,Solar
ZWE,2023.0,BIO,329.1388891522,Biomass
ZWE,2023.0,COA,1489.8333345252,Coal
ZWE,2023.0,HYD,8809.1944514918,Hydropower
ZWE,2023.0,Imports (MOZ),339.583333605,Imports (MOZ)
ZWE,2023.0,Imports (ZMB),3569.7222250780005,Imports (ZMB)
ZWE,2023.0,SOL,9.2777777852,Solar
ZWE,2024.0,BIO,309.7777780256,Biomass
ZWE,2024.0,COA,1411.4166677958,Coal
ZWE,2024.0,HYD,8809.1944514918,Hydropower
ZWE,2024.0,Imports (MOZ),488.472222613,Imports (MOZ)
ZWE,2024.0,Imports (ZMB),5192.2777819316,Imports (ZMB)
ZWE,2024.0,SOL,9.2777777852,Solar
ZWE,2025.0,BIO,193.611111266,Biomass
ZWE,2025.0,COA,1333.0000010664,Coal
ZWE,2025.0,HYD,8809.1944514918,Hydropower
ZWE,2025.0,Imports (MOZ),430.3333336776,Imports (MOZ)
ZWE,2025.0,Imports (ZMB),5248.2777819764,Imports (ZMB)
ZWE,2025.0,SOL,9.2777777852,Solar
ZWE,2026.0,BIO,174.2500001394,Biomass
ZWE,2026.0,COA,1254.583334337,Coal
ZWE,2026.0,HYD,8809.1944514918,Hydropower
ZWE,2026.0,Imports (MOZ),626.6944449458,Imports (MOZ)
ZWE,2026.0,Imports (ZMB),5610.833337822,Imports (ZMB)
ZWE,2026.0,SOL,9.2777777852,Solar
ZWE,2027.0,BIO,154.8888890128,Biomass
ZWE,2027.0,COA,1176.1944453854,Coal
ZWE,2027.0,HYD,8809.1944514918,Hydropower
ZWE,2027.0,Imports (MOZ),1066.5833341866,Imports (MOZ)
ZWE,2027.0,Imports (ZMB),5403.2222265448,Imports (ZMB)
ZWE,2027.0,SOL,9.2777777852,Solar
ZWE,2028.0,BIO,135.5277778862,Biomass
ZWE,2028.0,COA,1097.777778656,Coal
ZWE,2028.0,HYD,8809.1944514918,Hydropower
ZWE,2028.0,Imports (MOZ),692.3055561094001,Imports (MOZ)
ZWE,2028.0,Imports (ZMB),5883.972226929401,Imports (ZMB)
ZWE,2028.0,SOL,9.2777777852,Solar
ZWE,2029.0,BIO,116.1666667596,Biomass
ZWE,2029.0,COA,1019.3611119266,Coal
ZWE,2029.0,HYD,8809.1944514918,Hydropower
ZWE,2029.0,Imports (MOZ),765.5000006124,Imports (MOZ)
ZWE,2029.0,Imports (ZMB),6008.3611159178,Imports (ZMB)
ZWE,2029.0,SOL,9.2777777852,Solar
ZWE,2030.0,BIO,96.805555633,Biomass
ZWE,2030.0,COA,940.9444451972,Coal
ZWE,2030.0,HYD,8809.1944514918,Hydropower
ZWE,2030.0,Imports (MOZ),546.1666671036,Imports (MOZ)
ZWE,2030.0,Imports (ZMB),6128.2222271248,Imports (ZMB)
ZWE,2030.0,SOL,9.2777777852,Solar
