Country,y,f,Total annual demand (GWh),Demand type
BDI,2020.0,EL3E,291.66666690000005,Current electrified
BDI,2021.0,EL3E,299.0555557948,Current electrified
BDI,2021.0,EL3U,220.000000176,New electrified
BDI,2022.0,EL3E,305.7500002446,Current electrified
BDI,2022.0,EL3U,440.000000352,New electrified
BDI,2023.0,EL3E,311.77777802720004,Current electrified
BDI,2023.0,EL3U,660.000000528,New electrified
BDI,2024.0,EL3E,317.25000025380007,Current electrified
BDI,2024.0,EL3U,880.0000007040001,New electrified
BDI,2025.0,EL3E,334.0000002672,Current electrified
BDI,2025.0,EL3U,1100.00000088,New electrified
BDI,2026.0,EL3E,351.0000002808,Current electrified
BDI,2026.0,EL3U,1320.000001056,New electrified
BDI,2027.0,EL3E,368.194444739,Current electrified
BDI,2027.0,EL3U,1412.3611122410002,New electrified
BDI,2028.0,EL3E,385.555555864,Current electrified
BDI,2028.0,EL3U,1504.722223426,New electrified
BDI,2029.0,EL3E,403.1111114336,Current electrified
BDI,2029.0,EL3U,1597.083334611,New electrified
BDI,2030.0,EL3E,423.3611114498,Current electrified
BDI,2030.0,EL3U,1689.444445796,New electrified
BDI,2021.0,TZAEL1,29.1111111344,Exports (TZA)
BDI,2022.0,TZAEL1,75.6666667272,Exports (TZA)
