r,t,y,AnnualFixedOperatingCost
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,3.375
REGION,AGOBIOCHP01N,2018,3.375
REGION,AGOBIOCHP01N,2019,3.375
REGION,AGOBIOCHP01N,2020,3.375
REGION,AGOBIOCHP01N,2021,3.375
REGION,AGOBIOCHP01N,2022,3.375
REGION,AGOBIOCHP01N,2023,3.375
REGION,AGOBIOCHP01N,2024,3.375
REGION,AGOBIOCHP01N,2025,3.375
REGION,AGOBIOCHP01N,2026,3.375
REGION,AGOBIOCHP01N,2027,3.375
REGION,AGOBIOCHP01N,2028,3.375
REGION,AGOBIOCHP01N,2029,3.375
REGION,AGOBIOCHP01N,2030,3.375
REGION,AGOBIOCHP01N,2031,3.3525
REGION,AGOBIOCHP01N,2032,3.33
REGION,AGOBIOCHP01N,2033,3.3074999999999997
REGION,AGOBIOCHP01N,2034,3.2849999999999997
REGION,AGOBIOCHP01N,2035,3.2624999999999997
REGION,AGOBIOCHP01N,2036,3.2399999999999998
REGION,AGOBIOCHP01N,2037,3.2175
REGION,AGOBIOCHP01N,2038,3.195
REGION,AGOBIOCHP01N,2039,3.1725
REGION,AGOBIOCHP01N,2040,3.15
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2040,0.0
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2040,0.0
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2040,0.0
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2040,0.0
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2040,0.0
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2040,0.0
REGION,AGOEL2DIP00X,2040,0.0
REGION,AGOEL3DIP00X,2040,0.0
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2040,0.0
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2040,0.0
REGION,AGOHFOEMP00X,2040,0.0
REGION,AGOHFOGCP01N,2040,0.0
REGION,AGOHFOGCP01O,2015,10.5204
REGION,AGOHFOGCP01O,2016,10.5204
REGION,AGOHFOGCP01O,2017,10.5204
REGION,AGOHFOGCP01O,2018,10.5204
REGION,AGOHFOGCP01O,2019,10.5204
REGION,AGOHFOGCP01O,2020,10.5204
REGION,AGOHFOGCP01O,2021,9.99438
REGION,AGOHFOGCP01O,2022,9.46836
REGION,AGOHFOGCP01O,2023,8.94234
REGION,AGOHFOGCP01O,2024,8.41632
REGION,AGOHFOGCP01O,2025,7.8903
REGION,AGOHFOGCP01O,2026,7.36428
REGION,AGOHFOGCP01O,2027,6.83826
REGION,AGOHFOGCP01O,2028,6.31224
REGION,AGOHFOGCP01O,2029,5.78622
REGION,AGOHFOGCP01O,2030,5.2602
REGION,AGOHFOGCP01O,2031,4.73418
REGION,AGOHFOGCP01O,2032,4.20816
REGION,AGOHFOGCP01O,2033,3.68214
REGION,AGOHFOGCP01O,2034,3.15612
REGION,AGOHFOGCP01O,2035,2.6301
REGION,AGOHFOGCP01O,2036,2.10408
REGION,AGOHFOGCP01O,2037,1.57806
REGION,AGOHFOGCP01O,2038,1.05204
REGION,AGOHFOGCP01O,2039,0.52602
REGION,AGOHFOGCP01O,2040,0.0
REGION,AGOHFOIMP00X,2040,0.0
REGION,AGOHYDLSP00X,2015,39.4
REGION,AGOHYDLSP00X,2016,39.4
REGION,AGOHYDLSP00X,2017,158.9
REGION,AGOHYDLSP00X,2018,176.4
REGION,AGOHYDLSP00X,2019,176.4
REGION,AGOHYDLSP00X,2020,176.4
REGION,AGOHYDLSP00X,2021,176.4
REGION,AGOHYDLSP00X,2022,176.4
REGION,AGOHYDLSP00X,2023,176.4
REGION,AGOHYDLSP00X,2024,284.9
REGION,AGOHYDLSP00X,2025,284.9
REGION,AGOHYDLSP00X,2026,285.2697207074416
REGION,AGOHYDLSP00X,2027,300.2615133303238
REGION,AGOHYDLSP00X,2028,321.82145313650625
REGION,AGOHYDLSP00X,2029,346.82145313650625
REGION,AGOHYDLSP00X,2030,346.82145313650625
REGION,AGOHYDLSP00X,2031,371.82145313650625
REGION,AGOHYDLSP00X,2032,392.43103409576315
REGION,AGOHYDLSP00X,2033,413.7825524439072
REGION,AGOHYDLSP00X,2034,438.43011009040737
REGION,AGOHYDLSP00X,2035,463.43011009040737
REGION,AGOHYDLSP00X,2036,488.43011009040737
REGION,AGOHYDLSP00X,2037,513.4301100904074
REGION,AGOHYDLSP00X,2038,538.4301100904074
REGION,AGOHYDLSP00X,2039,556.29676558783
REGION,AGOHYDLSP00X,2040,581.29676558783
REGION,AGOHYDMGRID1,2040,0.0
REGION,AGOHYDMSP00X,2015,3.41
REGION,AGOHYDMSP00X,2016,9.753
REGION,AGOHYDMSP00X,2017,9.753
REGION,AGOHYDMSP00X,2018,9.753
REGION,AGOHYDMSP00X,2019,9.753
REGION,AGOHYDMSP00X,2020,9.753
REGION,AGOHYDMSP00X,2021,9.753
REGION,AGOHYDMSP00X,2022,9.753
REGION,AGOHYDMSP00X,2023,34.753
REGION,AGOHYDMSP00X,2024,39.25190378979467
REGION,AGOHYDMSP00X,2025,39.25190378979467
REGION,AGOHYDMSP00X,2026,64.25190378979467
REGION,AGOHYDMSP00X,2027,64.25190378979467
REGION,AGOHYDMSP00X,2028,67.50610857188379
REGION,AGOHYDMSP00X,2029,71.0206081315468
REGION,AGOHYDMSP00X,2030,79.81566219098472
REGION,AGOHYDMSP00X,2031,83.83772549017081
REGION,AGOHYDMSP00X,2032,83.83772549017081
REGION,AGOHYDMSP00X,2033,83.83772549017081
REGION,AGOHYDMSP00X,2034,83.83772549017081
REGION,AGOHYDMSP00X,2035,85.35549718535815
REGION,AGOHYDMSP00X,2036,87.98041784037933
REGION,AGOHYDMSP00X,2037,94.72737059535501
REGION,AGOHYDMSP00X,2038,94.76431381787467
REGION,AGOHYDMSP00X,2039,94.76431381787467
REGION,AGOHYDMSP00X,2040,102.61248835338895
REGION,AGOHYDSSP00X,2015,1.85544
REGION,AGOHYDSSP00X,2016,1.85544
REGION,AGOHYDSSP00X,2017,1.85544
REGION,AGOHYDSSP00X,2018,3.15144
REGION,AGOHYDSSP00X,2019,3.15144
REGION,AGOHYDSSP00X,2020,3.15144
REGION,AGOHYDSSP00X,2021,3.15144
REGION,AGOHYDSSP00X,2022,3.15144
REGION,AGOHYDSSP00X,2023,3.15144
REGION,AGOHYDSSP00X,2024,3.15144
REGION,AGOHYDSSP00X,2025,3.15144
REGION,AGOHYDSSP00X,2026,3.15144
REGION,AGOHYDSSP00X,2027,3.15144
REGION,AGOHYDSSP00X,2028,3.15144
REGION,AGOHYDSSP00X,2029,3.15144
REGION,AGOHYDSSP00X,2030,3.15144
REGION,AGOHYDSSP00X,2031,3.15144
REGION,AGOHYDSSP00X,2032,3.15144
REGION,AGOHYDSSP00X,2033,3.15144
REGION,AGOHYDSSP00X,2034,3.15144
REGION,AGOHYDSSP00X,2035,3.15144
REGION,AGOHYDSSP00X,2036,3.15144
REGION,AGOHYDSSP00X,2037,3.15144
REGION,AGOHYDSSP00X,2038,3.15144
REGION,AGOHYDSSP00X,2039,3.15144
REGION,AGOHYDSSP00X,2040,3.15144
REGION,AGOLFODIP00X,2040,0.0
REGION,AGOLFOEMP00X,2040,0.0
REGION,AGOLFOIMP00X,2040,0.0
REGION,AGOLFOMGRID1,2040,0.0
REGION,AGOLFORCP00X,2016,0.1137167703462093
REGION,AGOLFORCP00X,2017,0.1137167703462093
REGION,AGOLFORCP00X,2018,0.14904857148404768
REGION,AGOLFORCP00X,2019,0.14904857148404768
REGION,AGOLFORCP00X,2020,0.14904857148404768
REGION,AGOLFORCP00X,2021,0.14904857148404768
REGION,AGOLFORCP00X,2022,0.14904857148404768
REGION,AGOLFORCP00X,2023,0.14904857148404768
REGION,AGOLFORCP00X,2024,0.14904857148404768
REGION,AGOLFORCP00X,2025,0.14904857148404768
REGION,AGOLFORCP00X,2026,0.035331801137838376
REGION,AGOLFORCP00X,2027,0.035331801137838376
REGION,AGOLFORCP00X,2040,0.0
REGION,AGOLFORCP01N,2017,0.6859999999999999
REGION,AGOLFORCP01N,2018,0.6859999999999999
REGION,AGOLFORCP01N,2019,0.6859999999999999
REGION,AGOLFORCP01N,2020,0.6859999999999999
REGION,AGOLFORCP01N,2021,0.6859999999999999
REGION,AGOLFORCP01N,2022,0.6859999999999999
REGION,AGOLFORCP01N,2023,0.6859999999999999
REGION,AGOLFORCP01N,2024,0.6859999999999999
REGION,AGOLFORCP01N,2025,0.6859999999999999
REGION,AGOLFORCP01N,2026,0.6859999999999999
REGION,AGOLFORCP01N,2027,0.6859999999999999
REGION,AGOLFORCP01N,2028,0.6859999999999999
REGION,AGOLFORCP01N,2029,0.6859999999999999
REGION,AGOLFORCP01N,2030,0.6859999999999999
REGION,AGOLFORCP01N,2031,0.6859999999999999
REGION,AGOLFORCP01N,2032,0.6859999999999999
REGION,AGOLFORCP01N,2033,0.6859999999999999
REGION,AGOLFORCP01N,2034,0.6859999999999999
REGION,AGOLFORCP01N,2035,0.6859999999999999
REGION,AGOLFORCP01N,2036,0.6859999999999999
REGION,AGOLFORCP01N,2037,0.6859999999999999
REGION,AGOLFORCP01N,2038,0.6859999999999999
REGION,AGOLFORCP01N,2039,0.6859999999999999
REGION,AGOLFORCP01N,2040,0.6859999999999999
REGION,AGOLFORCP01O,2015,29.546475
REGION,AGOLFORCP01O,2016,29.546475
REGION,AGOLFORCP01O,2017,29.546475
REGION,AGOLFORCP01O,2018,29.546475
REGION,AGOLFORCP01O,2019,29.546475
REGION,AGOLFORCP01O,2020,29.546475
REGION,AGOLFORCP01O,2021,28.06915125
REGION,AGOLFORCP01O,2022,26.5918275
REGION,AGOLFORCP01O,2023,25.11450375
REGION,AGOLFORCP01O,2024,23.63718
REGION,AGOLFORCP01O,2025,22.15985625
REGION,AGOLFORCP01O,2026,20.6825325
REGION,AGOLFORCP01O,2027,19.20520875
REGION,AGOLFORCP01O,2028,17.727885
REGION,AGOLFORCP01O,2029,16.25056125
REGION,AGOLFORCP01O,2030,14.7732375
REGION,AGOLFORCP01O,2031,13.29591375
REGION,AGOLFORCP01O,2032,11.81859
REGION,AGOLFORCP01O,2033,10.34126625
REGION,AGOLFORCP01O,2034,8.8639425
REGION,AGOLFORCP01O,2035,7.38661875
REGION,AGOLFORCP01O,2036,5.909295
REGION,AGOLFORCP01O,2037,4.43197125
REGION,AGOLFORCP01O,2038,2.9546475
REGION,AGOLFORCP01O,2039,1.47732375
REGION,AGOLFORCP01O,2040,0.0
REGION,AGOLFOSALON1,2040,0.0
REGION,AGOLNGEXP00X,2040,0.0
REGION,AGOLNGIMP00X,2040,0.0
REGION,AGONGACCC01N,2040,0.0
REGION,AGONGACCP01N,2017,5.75
REGION,AGONGACCP01N,2018,18.75
REGION,AGONGACCP01N,2019,18.75
REGION,AGONGACCP01N,2020,18.75
REGION,AGONGACCP01N,2021,18.75
REGION,AGONGACCP01N,2022,18.75
REGION,AGONGACCP01N,2023,18.75
REGION,AGONGACCP01N,2024,18.75
REGION,AGONGACCP01N,2025,18.75
REGION,AGONGACCP01N,2026,18.75
REGION,AGONGACCP01N,2027,18.75
REGION,AGONGACCP01N,2028,18.75
REGION,AGONGACCP01N,2029,18.75
REGION,AGONGACCP01N,2030,18.75
REGION,AGONGACCP01N,2031,18.75
REGION,AGONGACCP01N,2032,18.75
REGION,AGONGACCP01N,2033,18.75
REGION,AGONGACCP01N,2034,18.75
REGION,AGONGACCP01N,2035,18.75
REGION,AGONGACCP01N,2036,18.75
REGION,AGONGACCP01N,2037,18.75
REGION,AGONGACCP01N,2038,18.75
REGION,AGONGACCP01N,2039,18.75
REGION,AGONGACCP01N,2040,18.75
REGION,AGONGACCP01O,2040,0.0
REGION,AGONGADIP00X,2040,0.0
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2015,1.7
REGION,AGONGAGCP01O,2016,1.7
REGION,AGONGAGCP01O,2017,1.7
REGION,AGONGAGCP01O,2018,1.7
REGION,AGONGAGCP01O,2019,1.7
REGION,AGONGAGCP01O,2020,1.7
REGION,AGONGAGCP01O,2021,1.615
REGION,AGONGAGCP01O,2022,1.53
REGION,AGONGAGCP01O,2023,1.445
REGION,AGONGAGCP01O,2024,1.3599999999999999
REGION,AGONGAGCP01O,2025,1.275
REGION,AGONGAGCP01O,2026,1.19
REGION,AGONGAGCP01O,2027,1.105
REGION,AGONGAGCP01O,2028,1.02
REGION,AGONGAGCP01O,2029,0.935
REGION,AGONGAGCP01O,2030,0.85
REGION,AGONGAGCP01O,2031,0.765
REGION,AGONGAGCP01O,2032,0.68
REGION,AGONGAGCP01O,2033,0.595
REGION,AGONGAGCP01O,2034,0.51
REGION,AGONGAGCP01O,2035,0.425
REGION,AGONGAGCP01O,2036,0.34
REGION,AGONGAGCP01O,2037,0.255
REGION,AGONGAGCP01O,2038,0.17
