Country,y,f,Total annual demand (GWh),Demand type
SWZ,2020.0,EL3E,1985.1944460326,Current electrified
SWZ,2021.0,EL3E,2318.9166685218,Current electrified
SWZ,2021.0,EL3U,98.4166667454,New electrified
SWZ,2022.0,EL3E,2691.8611132646,Current electrified
SWZ,2022.0,EL3U,196.8611112686,New electrified
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified
SWZ,2023.0,EL3U,295.277778014,New electrified
SWZ,2024.0,EL3E,3571.4166695238,Current electrified
SWZ,2024.0,EL3U,393.6944447594,New electrified
SWZ,2025.0,EL3E,4010.3611143194,Current electrified
SWZ,2025.0,EL3U,492.1388892826,New electrified
SWZ,2026.0,EL3E,4492.0000035936,Current electrified
SWZ,2026.0,EL3U,590.555556028,New electrified
SWZ,2027.0,EL3E,5018.861115126199,Current electrified
SWZ,2027.0,EL3U,622.0000004976,New electrified
SWZ,2028.0,EL3E,5594.2500044754,Current electrified
SWZ,2028.0,EL3U,653.4722227450001,New electrified
SWZ,2029.0,EL3E,6221.722227199601,Current electrified
SWZ,2029.0,EL3U,684.9444449924001,New electrified
SWZ,2030.0,EL3E,6838.1666721372,Current electrified
SWZ,2030.0,EL3U,716.3888894620001,New electrified
SWZ,2025.0,MOZEL1,215.1111112832,Exports (MOZ)
SWZ,2026.0,MOZEL1,190.138889041,Exports (MOZ)
SWZ,2027.0,MOZEL1,338.13888915940004,Exports (MOZ)
SWZ,2027.0,ZAFEL1,11.3333333424,Exports (ZAF)
SWZ,2028.0,MOZEL1,416.3888892220001,Exports (MOZ)
SWZ,2028.0,ZAFEL1,26.805555577000003,Exports (ZAF)
SWZ,2029.0,MOZEL1,662.916667197,Exports (MOZ)
SWZ,2029.0,ZAFEL1,1833.0277792442,Exports (ZAF)
SWZ,2030.0,ZAFEL1,2317.3333351872,Exports (ZAF)
