Country,y,f,Total annual demand (GWh),Demand type
ERI,2020.0,EL3E,427.4722225642,Current electrified
ERI,2021.0,EL3E,438.3611114618,Current electrified
ERI,2021.0,EL3U,92.0000000736,New electrified
ERI,2022.0,EL3E,448.1388892474,Current electrified
ERI,2022.0,EL3U,183.9722223694,New electrified
ERI,2023.0,EL3E,456.9722225878001,Current electrified
ERI,2023.0,EL3U,275.972222443,New electrified
ERI,2024.0,EL3E,464.9722225942001,Current electrified
ERI,2024.0,EL3U,367.9722225166,New electrified
ERI,2025.0,EL3E,489.5555559472,Current electrified
ERI,2025.0,EL3U,459.9444448124,New electrified
ERI,2026.0,EL3E,514.444444856,Current electrified
ERI,2026.0,EL3U,551.944444886,New electrified
ERI,2027.0,EL3E,539.6388893206,Current electrified
ERI,2027.0,EL3U,611.5833338226001,New electrified
ERI,2028.0,EL3E,565.1111115632,Current electrified
ERI,2028.0,EL3U,671.250000537,New electrified
ERI,2029.0,EL3E,590.8333338059999,Current electrified
ERI,2029.0,EL3U,730.9166672514,New electrified
ERI,2030.0,EL3E,620.5000004964,Current electrified
ERI,2030.0,EL3U,790.5555561880001,New electrified
