Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
TCD,2020.0,HFO,153.2222223448,Heavy Fuel Oil,Bottom-up,No
TCD,2020.0,LFO,54.8333333772,Light Fuel Oil,Bottom-up,No
TCD,2020.0,SOL,172.11111124880003,Solar,Bottom-up,No
TCD,2020.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2021.0,HFO,145.58333344980002,Heavy Fuel Oil,Bottom-up,No
TCD,2021.0,LFO,52.11111115280001,Light Fuel Oil,Bottom-up,No
TCD,2021.0,SOL,312.27777802760005,Solar,Bottom-up,No
TCD,2021.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2022.0,HFO,137.91666677700002,Heavy Fuel Oil,Bottom-up,No
TCD,2022.0,LFO,49.444444484,Light Fuel Oil,Bottom-up,No
TCD,2022.0,SOL,451.6111114724,Solar,Bottom-up,No
TCD,2022.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2023.0,HFO,130.2500001042,Heavy Fuel Oil,Bottom-up,No
TCD,2023.0,LFO,46.7777778152,Light Fuel Oil,Bottom-up,No
TCD,2023.0,SOL,548.2222226608001,Solar,Bottom-up,No
TCD,2023.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2024.0,HFO,122.5833334314,Heavy Fuel Oil,Bottom-up,No
TCD,2024.0,LFO,44.1388889242,Light Fuel Oil,Bottom-up,No
TCD,2024.0,SOL,823.7500006590001,Solar,Bottom-up,No
TCD,2024.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2025.0,HFO,114.9166667586,Heavy Fuel Oil,Bottom-up,No
TCD,2025.0,LFO,41.5000000332,Light Fuel Oil,Bottom-up,No
TCD,2025.0,SOL,2669.2500021354,Solar,Bottom-up,No
TCD,2025.0,WIN,3.1111111136000003,Wind,Bottom-up,No
TCD,2026.0,HFO,107.2777778636,Heavy Fuel Oil,Bottom-up,No
TCD,2026.0,LFO,38.5555555864,Light Fuel Oil,Bottom-up,No
TCD,2026.0,SOL,4809.8055594034,Solar,Bottom-up,No
TCD,2026.0,WIN,3.5000000028,Wind,Bottom-up,No
TCD,2027.0,HFO,99.6111111908,Heavy Fuel Oil,Bottom-up,No
TCD,2027.0,LFO,35.916666695400004,Light Fuel Oil,Bottom-up,No
TCD,2027.0,SOL,6951.3055611166,Solar,Bottom-up,No
TCD,2027.0,WIN,3.1111111136000003,Wind,Bottom-up,No
TCD,2028.0,HFO,91.944444518,Heavy Fuel Oil,Bottom-up,No
TCD,2028.0,LFO,31.7500000254,Light Fuel Oil,Bottom-up,No
TCD,2028.0,SOL,8648.222229140802,Solar,Bottom-up,No
TCD,2028.0,WIN,3.1111111136000003,Wind,Bottom-up,No
TCD,2029.0,HFO,84.2777778452,Heavy Fuel Oil,Bottom-up,No
TCD,2029.0,LFO,29.1111111344,Light Fuel Oil,Bottom-up,No
TCD,2029.0,SOL,10352.3333416152,Solar,Bottom-up,No
TCD,2029.0,WIN,3.1111111136000003,Wind,Bottom-up,No
TCD,2030.0,HFO,76.6111111724,Heavy Fuel Oil,Bottom-up,No
