Country,y,f,Total installed capacity (GW),Source
TUN,2020,BIO,0.01,Biomass
TUN,2020,GAS,4.06518,Natural Gas
TUN,2020,HFO,1.02792,Heavy Fuel Oil
TUN,2020,HYD,0.062325,Hydropower
TUN,2020,LFO,0.391976012534106,Light Fuel Oil
TUN,2020,SOL,0.0452285,Solar
TUN,2020,WIN,0.24504,Wind
TUN,2021,BIO,0.1095,Biomass
TUN,2021,GAS,3.919321,Natural Gas
TUN,2021,HFO,0.976524,Heavy Fuel Oil
TUN,2021,HYD,0.062325,Hydropower
TUN,2021,LFO,0.386661762534106,Light Fuel Oil
TUN,2021,SOL,0.6740281909742041,Solar
TUN,2021,WIN,0.25,Wind
TUN,2022,BIO,0.20855,Biomass
TUN,2022,GAS,3.773462,Natural Gas
TUN,2022,HFO,0.925128,Heavy Fuel Oil
TUN,2022,HYD,0.062325,Hydropower
TUN,2022,LFO,0.381347512534106,Light Fuel Oil
TUN,2022,SOL,1.4232266909742042,Solar
TUN,2022,WIN,0.489248,Wind
TUN,2023,BIO,0.3072674999999999,Biomass
TUN,2023,GAS,3.627603,Natural Gas
TUN,2023,HFO,0.873732,Heavy Fuel Oil
TUN,2023,HYD,0.087325,Hydropower
TUN,2023,LFO,0.376033262534106,Light Fuel Oil
TUN,2023,SOL,2.172425190974204,Solar
TUN,2023,WIN,0.728496,Wind
TUN,2024,BIO,0.405814,Biomass
TUN,2024,GAS,3.481744,Natural Gas
TUN,2024,HFO,0.822336,Heavy Fuel Oil
TUN,2024,HYD,0.087325,Hydropower
TUN,2024,LFO,0.370719012534106,Light Fuel Oil
TUN,2024,SOL,2.921623690974204,Solar
TUN,2024,WIN,0.967744,Wind
TUN,2025,BIO,0.5043605,Biomass
TUN,2025,GAS,3.4959072558283504,Natural Gas
TUN,2025,HFO,0.77094,Heavy Fuel Oil
TUN,2025,HYD,0.087325,Hydropower
TUN,2025,LFO,0.365404762534106,Light Fuel Oil
TUN,2025,SOL,4.170822190974204,Solar
TUN,2025,WIN,1.2069919999999998,Wind
TUN,2026,BIO,0.60305235,Biomass
TUN,2026,GAS,3.35004825582835,Natural Gas
TUN,2026,HFO,0.719544,Heavy Fuel Oil
TUN,2026,HYD,0.087325,Hydropower
TUN,2026,LFO,0.2743995,Light Fuel Oil
TUN,2026,SOL,5.420020690974204,Solar
TUN,2026,WIN,1.4462399999999995,Wind
TUN,2027,BIO,0.7019840275,Biomass
TUN,2027,GAS,3.20418925582835,Natural Gas
TUN,2027,HFO,0.668148,Heavy Fuel Oil
TUN,2027,HYD,0.087325,Hydropower
TUN,2027,LFO,0.16908525,Light Fuel Oil
TUN,2027,SOL,6.669219190974204,Solar
TUN,2027,WIN,1.6854879999999997,Wind
TUN,2028,BIO,0.8011904164999999,Biomass
TUN,2028,GAS,3.0583302558283503,Natural Gas
TUN,2028,HFO,0.616752,Heavy Fuel Oil
TUN,2028,HYD,0.087325,Hydropower
TUN,2028,LFO,0.063771,Light Fuel Oil
TUN,2028,SOL,7.918417690974204,Solar
TUN,2028,WIN,1.924736,Wind
TUN,2029,BIO,0.9006547290749999,Biomass
TUN,2029,GAS,2.9124712558283505,Natural Gas
TUN,2029,HFO,0.565356,Heavy Fuel Oil
TUN,2029,HYD,0.087325,Hydropower
TUN,2029,LFO,0.05845675,Light Fuel Oil
TUN,2029,SOL,9.029997405200277,Solar
TUN,2029,WIN,2.163984,Wind
TUN,2030,BIO,1.0003273645375,Biomass
TUN,2030,GAS,2.7666122558283504,Natural Gas
TUN,2030,HFO,0.51396,Heavy Fuel Oil
TUN,2030,HYD,0.087325,Hydropower
TUN,2030,LFO,0.0531425,Light Fuel Oil
TUN,2030,SOL,10.279195905200275,Solar
TUN,2030,WIN,2.403232,Wind
