Country,y,f,Total installed capacity (GW),Source
MAR,2020,COA,2.585,Coal
MAR,2020,GAS,1.83385,Natural Gas
MAR,2020,HFO,1.607708,Heavy Fuel Oil
MAR,2020,HYD,1.22087,Hydropower
MAR,2020,LFO,0.564507,Light Fuel Oil
MAR,2020,SOL,1.8040627,Solar
MAR,2020,WIN,1.0176,Wind
MAR,2021,BIO,0.1,Biomass
MAR,2021,COA,2.585,Coal
MAR,2021,GAS,2.2671575,Natural Gas
MAR,2021,HFO,1.5273226,Heavy Fuel Oil
MAR,2021,HYD,1.22087,Hydropower
MAR,2021,LFO,0.5562816500000001,Light Fuel Oil
MAR,2021,SOL,3.603253585987894,Solar
MAR,2021,WIN,1.47772,Wind
MAR,2022,BIO,0.2,Biomass
MAR,2022,COA,2.585,Coal
MAR,2022,GAS,2.700465,Natural Gas
MAR,2022,HFO,1.4469372,Heavy Fuel Oil
MAR,2022,HYD,1.22087,Hydropower
MAR,2022,LFO,0.5480563,Light Fuel Oil
MAR,2022,SOL,4.851250285987893,Solar
MAR,2022,WIN,1.93784,Wind
MAR,2023,BIO,0.3,Biomass
MAR,2023,COA,2.45575,Coal
MAR,2023,GAS,3.1337725,Natural Gas
MAR,2023,HFO,1.3665518,Heavy Fuel Oil
MAR,2023,HYD,1.82087,Hydropower
MAR,2023,LFO,0.53983095,Light Fuel Oil
MAR,2023,SOL,6.099246985987893,Solar
MAR,2023,WIN,1.89796,Wind
MAR,2024,BIO,0.4,Biomass
MAR,2024,COA,2.3265,Coal
MAR,2024,GAS,3.56708,Natural Gas
MAR,2024,HFO,1.2861664,Heavy Fuel Oil
MAR,2024,HYD,1.82087,Hydropower
MAR,2024,LFO,0.5316056,Light Fuel Oil
MAR,2024,SOL,7.347243685987893,Solar
MAR,2024,WIN,1.85808,Wind
MAR,2025,BIO,0.5,Biomass
MAR,2025,COA,2.19725,Coal
MAR,2025,GAS,4.0003875,Natural Gas
MAR,2025,HFO,1.205781,Heavy Fuel Oil
MAR,2025,HYD,2.32087,Hydropower
MAR,2025,LFO,0.42338025,Light Fuel Oil
MAR,2025,SOL,8.595240385987893,Solar
MAR,2025,WIN,1.8182,Wind
MAR,2026,BIO,0.6,Biomass
MAR,2026,COA,2.068,Coal
MAR,2026,GAS,4.433695,Natural Gas
MAR,2026,HFO,1.1253956,Heavy Fuel Oil
MAR,2026,HYD,2.32087,Hydropower
MAR,2026,LFO,0.3151549,Light Fuel Oil
MAR,2026,SOL,9.843237085987894,Solar
MAR,2026,WIN,1.77832,Wind
MAR,2027,BIO,0.7,Biomass
MAR,2027,COA,1.93875,Coal
MAR,2027,GAS,4.8670025,Natural Gas
MAR,2027,HFO,1.0450102,Heavy Fuel Oil
MAR,2027,HYD,2.32087,Hydropower
MAR,2027,LFO,0.20692955,Light Fuel Oil
MAR,2027,SOL,11.091233785987894,Solar
MAR,2027,WIN,1.7384400000000002,Wind
MAR,2028,BIO,0.7999999999999999,Biomass
MAR,2028,COA,1.8095,Coal
MAR,2028,GAS,5.30031,Natural Gas
MAR,2028,HFO,0.9646248,Heavy Fuel Oil
MAR,2028,HYD,2.32087,Hydropower
MAR,2028,LFO,0.0987042,Light Fuel Oil
MAR,2028,SOL,12.339230485987894,Solar
MAR,2028,WIN,1.69856,Wind
MAR,2029,BIO,0.8999999999999999,Biomass
MAR,2029,COA,1.68025,Coal
MAR,2029,GAS,5.637986107145811,Natural Gas
MAR,2029,HFO,0.8842394,Heavy Fuel Oil
MAR,2029,HYD,2.32087,Hydropower
MAR,2029,LFO,0.09047885,Light Fuel Oil
MAR,2029,SOL,13.587227185987894,Solar
MAR,2029,WIN,1.6586800000000002,Wind
MAR,2030,BIO,1.0,Biomass
MAR,2030,COA,1.5510000000000002,Coal
MAR,2030,GAS,5.798386031592364,Natural Gas
MAR,2030,HFO,0.803854,Heavy Fuel Oil
MAR,2030,HYD,2.82087,Hydropower
MAR,2030,LFO,0.0822535,Light Fuel Oil
MAR,2030,SOL,14.835223885987894,Solar
MAR,2030,WIN,1.6188,Wind
