Country,y,f,Total annual production (GWh),Source
DJI,2020.0,HFO,126.0000001008,Heavy Fuel Oil
DJI,2020.0,Imports (ETH),401.41666698780006,Imports (ETH)
DJI,2020.0,LFO,107.2500000858,Light Fuel Oil
DJI,2021.0,GEO,223.3888890676,Geothermal
DJI,2021.0,HFO,119.6944445402,Heavy Fuel Oil
DJI,2021.0,Imports (ETH),250.5000002004,Imports (ETH)
DJI,2021.0,LFO,102.1388889706,Light Fuel Oil
DJI,2022.0,GEO,223.3888890676,Geothermal
DJI,2022.0,HFO,113.3888889796,Heavy Fuel Oil
DJI,2022.0,Imports (ETH),321.388889146,Imports (ETH)
DJI,2022.0,LFO,96.944444522,Light Fuel Oil
DJI,2023.0,GEO,223.3888890676,Geothermal
DJI,2023.0,HFO,107.083333419,Heavy Fuel Oil
DJI,2023.0,Imports (ETH),390.833333646,Imports (ETH)
DJI,2023.0,LFO,91.75000007340002,Light Fuel Oil
DJI,2024.0,GEO,223.3888890676,Geothermal
DJI,2024.0,HFO,100.7777778584,Heavy Fuel Oil
DJI,2024.0,Imports (ETH),459.05555592280007,Imports (ETH)
DJI,2024.0,LFO,86.58333340260002,Light Fuel Oil
DJI,2025.0,GEO,223.3888890676,Geothermal
DJI,2025.0,HFO,94.5000000756,Heavy Fuel Oil
DJI,2025.0,Imports (ETH),551.7222226636001,Imports (ETH)
DJI,2025.0,LFO,81.38888895400001,Light Fuel Oil
DJI,2026.0,GEO,223.3888890676,Geothermal
DJI,2026.0,HFO,88.194444515,Heavy Fuel Oil
DJI,2026.0,Imports (ETH),644.722222738,Imports (ETH)
DJI,2026.0,LFO,76.1944445054,Light Fuel Oil
DJI,2027.0,GEO,223.3888890676,Geothermal
DJI,2027.0,HFO,81.8888889544,Heavy Fuel Oil
DJI,2027.0,Imports (ETH),702.1944450062,Imports (ETH)
DJI,2027.0,LFO,67.8611111654,Light Fuel Oil
DJI,2028.0,GEO,223.3888890676,Geothermal
DJI,2028.0,HFO,75.5833333938,Heavy Fuel Oil
DJI,2028.0,Imports (ETH),756.388889494,Imports (ETH)
DJI,2028.0,LFO,62.3333333832,Light Fuel Oil
DJI,2029.0,GEO,223.3888890676,Geothermal
DJI,2029.0,HFO,144.36111122660003,Heavy Fuel Oil
DJI,2029.0,Imports (ETH),735.3055561438,Imports (ETH)
DJI,2029.0,LFO,57.1388889346,Light Fuel Oil
DJI,2030.0,GEO,223.3888890676,Geothermal
DJI,2030.0,HFO,131.2222223272,Heavy Fuel Oil
DJI,2030.0,Imports (ETH),801.8888895304001,Imports (ETH)
DJI,2030.0,LFO,51.944444486,Light Fuel Oil
