Country,y,f,Total annual production (GWh),Source
UGA,2020.0,HYD,6127.3888937908,Hydropower
UGA,2020.0,LFO,139.2500001114,Light Fuel Oil
UGA,2020.0,SOL,66.3611111642,Solar
UGA,2021.0,BIO,92.5277778518,Biomass
UGA,2021.0,HYD,6127.3888937908,Hydropower
UGA,2021.0,LFO,132.361111217,Light Fuel Oil
UGA,2021.0,SOL,64.88888894080002,Solar
UGA,2022.0,BIO,217.361111285,Biomass
UGA,2022.0,HYD,6127.3888937908,Hydropower
UGA,2022.0,LFO,125.3888889892,Light Fuel Oil
UGA,2022.0,SOL,63.416666717400005,Solar
UGA,2023.0,BIO,205.277777942,Biomass
UGA,2023.0,HYD,6127.3888937908,Hydropower
UGA,2023.0,Imports (KEN),2954.3888912524,Imports (KEN)
UGA,2023.0,LFO,118.4166667614,Light Fuel Oil
UGA,2023.0,SOL,61.94444449400001,Solar
UGA,2024.0,BIO,77.91666672900001,Biomass
UGA,2024.0,HYD,6127.3888937908,Hydropower
UGA,2024.0,Imports (KEN),1128.8333342364,Imports (KEN)
UGA,2024.0,LFO,111.4722223114,Light Fuel Oil
UGA,2024.0,SOL,60.44444449280001,Solar
UGA,2025.0,BIO,120.7500000966,Biomass
UGA,2025.0,HYD,6138.6388937998,Hydropower
UGA,2025.0,Imports (KEN),2978.611113494,Imports (KEN)
UGA,2025.0,LFO,104.5000000836,Light Fuel Oil
UGA,2025.0,SOL,58.97222226940001,Solar
UGA,2026.0,BIO,108.6666667536,Biomass
UGA,2026.0,HYD,6138.6388937998,Hydropower
UGA,2026.0,Imports (KEN),5121.3611152082,Imports (KEN)
UGA,2026.0,LFO,97.5277778558,Light Fuel Oil
UGA,2026.0,SOL,57.500000046,Solar
UGA,2027.0,BIO,96.6111111884,Biomass
UGA,2027.0,HYD,6138.6388937998,Hydropower
UGA,2027.0,Imports (KEN),4600.4444481248,Imports (KEN)
UGA,2027.0,LFO,90.5833334058,Light Fuel Oil
UGA,2027.0,SOL,56.02777782260001,Solar
UGA,2028.0,BIO,84.52777784540001,Biomass
UGA,2028.0,GEO,744.6111117068001,Geothermal
UGA,2028.0,HFO,289.52777800940004,Heavy Fuel Oil
UGA,2028.0,HYD,6138.6388937998,Hydropower
UGA,2028.0,Imports (KEN),2239.3611129026003,Imports (KEN)
UGA,2028.0,LFO,83.55555562240001,Light Fuel Oil
UGA,2028.0,SOL,54.555555599200005,Solar
UGA,2029.0,BIO,72.4444445024,Biomass
UGA,2029.0,GEO,1489.1944456358,Geothermal
UGA,2029.0,HFO,265.416666879,Heavy Fuel Oil
UGA,2029.0,HYD,6138.6388937998,Hydropower
UGA,2029.0,Imports (KEN),1459.5000011675995,Imports (KEN)
UGA,2029.0,LFO,76.5833333946,Light Fuel Oil
UGA,2029.0,NGA,288.83333356440005,Natural Gas
UGA,2029.0,SOL,53.08333337580001,Solar
UGA,2030.0,BIO,60.38888893720001,Biomass
UGA,2030.0,GEO,2233.8055573426004,Geothermal
UGA,2030.0,HFO,241.27777797080003,Heavy Fuel Oil
UGA,2030.0,HYD,6138.6388937998,Hydropower
UGA,2030.0,Imports (KEN),828.6388895518,Imports (KEN)
UGA,2030.0,LFO,69.6388889446,Light Fuel Oil
UGA,2030.0,NGA,1102.638889771,Natural Gas
UGA,2030.0,SOL,51.61111115240001,Solar
