Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
TUN,2023,WIN,0.728496,Wind,Top-down low,High
TUN,2024,BIO,0.405814,Biomass,Top-down low,High
TUN,2024,GAS,3.481744,Natural Gas,Top-down low,High
TUN,2024,HFO,0.822336,Heavy Fuel Oil,Top-down low,High
TUN,2024,HYD,0.087325,Hydropower,Top-down low,High
TUN,2024,LFO,0.2882674110097262,Light Fuel Oil,Top-down low,High
TUN,2024,SOL,2.8322602444952696,Solar,Top-down low,High
TUN,2024,WIN,0.967744,Wind,Top-down low,High
TUN,2025,BIO,0.5043605,Biomass,Top-down low,High
TUN,2025,GAS,3.835885,Natural Gas,Top-down low,High
TUN,2025,HFO,0.77094,Heavy Fuel Oil,Top-down low,High
TUN,2025,HYD,0.087325,Hydropower,Top-down low,High
TUN,2025,LFO,0.2829531610097262,Light Fuel Oil,Top-down low,High
TUN,2025,SOL,3.581458744495269,Solar,Top-down low,High
TUN,2025,WIN,1.2069919999999998,Wind,Top-down low,High
TUN,2026,BIO,0.60305235,Biomass,Top-down low,High
TUN,2026,GAS,3.817394056444934,Natural Gas,Top-down low,High
TUN,2026,HFO,0.719544,Heavy Fuel Oil,Top-down low,High
TUN,2026,HYD,0.087325,Hydropower,Top-down low,High
TUN,2026,LFO,0.2605512899616647,Light Fuel Oil,Top-down low,High
TUN,2026,SOL,4.33065724449527,Solar,Top-down low,High
TUN,2026,WIN,1.4462399999999995,Wind,Top-down low,High
TUN,2027,BIO,0.7019840275,Biomass,Top-down low,High
TUN,2027,GAS,3.6715350564449336,Natural Gas,Top-down low,High
TUN,2027,HFO,0.668148,Heavy Fuel Oil,Top-down low,High
TUN,2027,HYD,0.087325,Hydropower,Top-down low,High
TUN,2027,LFO,0.16908525,Light Fuel Oil,Top-down low,High
TUN,2027,SOL,5.079855744495269,Solar,Top-down low,High
TUN,2027,WIN,1.6854879999999997,Wind,Top-down low,High
TUN,2028,BIO,0.8011904164999999,Biomass,Top-down low,High
TUN,2028,GAS,3.525676056444934,Natural Gas,Top-down low,High
TUN,2028,HFO,0.616752,Heavy Fuel Oil,Top-down low,High
TUN,2028,HYD,0.087325,Hydropower,Top-down low,High
TUN,2028,LFO,0.063771,Light Fuel Oil,Top-down low,High
TUN,2028,SOL,5.8290542444952695,Solar,Top-down low,High
TUN,2028,WIN,1.924736,Wind,Top-down low,High
TUN,2029,BIO,0.9006547290749999,Biomass,Top-down low,High
TUN,2029,GAS,3.379817056444934,Natural Gas,Top-down low,High
TUN,2029,HFO,0.565356,Heavy Fuel Oil,Top-down low,High
TUN,2029,HYD,0.087325,Hydropower,Top-down low,High
TUN,2029,LFO,0.05845675,Light Fuel Oil,Top-down low,High
TUN,2029,SOL,6.578252744495269,Solar,Top-down low,High
TUN,2029,WIN,2.163984,Wind,Top-down low,High
TUN,2030,BIO,1.0003273645375,Biomass,Top-down low,High
TUN,2030,GAS,3.233958056444934,Natural Gas,Top-down low,High
TUN,2030,HFO,0.51396,Heavy Fuel Oil,Top-down low,High
TUN,2030,HYD,0.087325,Hydropower,Top-down low,High
TUN,2030,LFO,0.0531425,Light Fuel Oil,Top-down low,High
TUN,2030,SOL,7.327451244495269,Solar,Top-down low,High
TUN,2030,WIN,2.403232,Wind,Top-down low,High
