Country,y,f,Total installed capacity (GW),Source
TGO,2020,HFO,0.00125,Heavy Fuel Oil
TGO,2020,HYD,0.1407,Hydropower
TGO,2020,LFO,0.0735999037037566,Light Fuel Oil
TGO,2020,SOL,0.00295,Solar
TGO,2021,HFO,0.0011875,Heavy Fuel Oil
TGO,2021,HYD,0.1407,Hydropower
TGO,2021,LFO,0.0700942037037566,Light Fuel Oil
TGO,2021,SOL,0.0029,Solar
TGO,2022,GAS,0.005124461414007,Natural Gas
TGO,2022,HFO,0.001125,Heavy Fuel Oil
TGO,2022,HYD,0.1407,Hydropower
TGO,2022,LFO,0.0665885037037566,Light Fuel Oil
TGO,2022,SOL,0.00285,Solar
TGO,2023,GAS,0.005124461414007,Natural Gas
TGO,2023,HFO,0.0010625,Heavy Fuel Oil
TGO,2023,HYD,0.1407,Hydropower
TGO,2023,LFO,0.0630828037037566,Light Fuel Oil
TGO,2023,SOL,0.0028,Solar
TGO,2024,COA,0.0978237742213296,Coal
TGO,2024,GAS,0.0051420712470449,Natural Gas
TGO,2024,HFO,0.001,Heavy Fuel Oil
TGO,2024,HYD,0.3016,Hydropower
TGO,2024,LFO,0.0595771037037566,Light Fuel Oil
TGO,2024,SOL,0.00275,Solar
TGO,2025,COA,0.1590425077580278,Coal
TGO,2025,GAS,0.0051508761635638,Natural Gas
TGO,2025,HFO,0.0009375,Heavy Fuel Oil
TGO,2025,HYD,0.3016,Hydropower
TGO,2025,LFO,0.0560714037037566,Light Fuel Oil
TGO,2025,SOL,0.0027,Solar
TGO,2026,COA,0.2939641992819529,Coal
TGO,2026,GAS,0.0051596810800827,Natural Gas
TGO,2026,HFO,0.000875,Heavy Fuel Oil
TGO,2026,HYD,0.3016,Hydropower
TGO,2026,LFO,0.0525657037037566,Light Fuel Oil
TGO,2026,SOL,0.0323010474379115,Solar
TGO,2027,COA,0.2939641992819529,Coal
TGO,2027,GAS,0.0051684859966016,Natural Gas
TGO,2027,HFO,0.0008125,Heavy Fuel Oil
TGO,2027,HYD,0.3016,Hydropower
TGO,2027,LFO,0.0455741,Light Fuel Oil
TGO,2027,SOL,0.0699579553259802,Solar
TGO,2028,COA,0.2939641992819529,Coal
TGO,2028,GAS,0.0051684859966016,Natural Gas
TGO,2028,HFO,0.00075,Heavy Fuel Oil
TGO,2028,HYD,0.3016,Hydropower
TGO,2028,LFO,0.0420684,Light Fuel Oil
TGO,2028,SOL,0.100490790097758,Solar
TGO,2029,COA,0.2939641992819529,Coal
TGO,2029,GAS,0.0051860958296394,Natural Gas
TGO,2029,HFO,0.0006875,Heavy Fuel Oil
TGO,2029,HYD,0.3016,Hydropower
TGO,2029,LFO,0.0385627,Light Fuel Oil
TGO,2029,SOL,0.1314752041223547,Solar
TGO,2030,COA,0.2939641992819529,Coal
TGO,2030,GAS,0.0051949007461583,Natural Gas
TGO,2030,HFO,0.000625,Heavy Fuel Oil
TGO,2030,HYD,0.3016,Hydropower
TGO,2030,LFO,0.035057,Light Fuel Oil
TGO,2030,SOL,0.1628894556953142,Solar
