Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
NGA,2020.0,BIO,30.7500000246,Biomass,Bottom-up,No
NGA,2020.0,HFO,3561.8888917384006,Heavy Fuel Oil,Bottom-up,No
NGA,2020.0,HYD,12567.4722322762,Hydropower,Bottom-up,No
NGA,2020.0,LFO,214.13888906020003,Light Fuel Oil,Bottom-up,No
NGA,2020.0,NGA,13104.1388993722,Natural Gas,Bottom-up,No
NGA,2020.0,SOL,29.6388889126,Solar,Bottom-up,No
NGA,2020.0,WIN,22.7222222404,Wind,Bottom-up,No
NGA,2021.0,BIO,29.1944444678,Biomass,Bottom-up,No
NGA,2021.0,HFO,10675.2222307624,Heavy Fuel Oil,Bottom-up,No
NGA,2021.0,HYD,12567.4722322762,Hydropower,Bottom-up,No
NGA,2021.0,LFO,397.27777809560007,Light Fuel Oil,Bottom-up,No
NGA,2021.0,NGA,14348.055567034,Natural Gas,Bottom-up,No
NGA,2021.0,SOL,28.277777800400003,Solar,Bottom-up,No
NGA,2021.0,WIN,22.083333351,Wind,Bottom-up,No
NGA,2022.0,BIO,27.6666666888,Biomass,Bottom-up,No
NGA,2022.0,COA,4446.583336890601,Coal,Bottom-up,No
NGA,2022.0,HFO,10173.1388970274,Heavy Fuel Oil,Bottom-up,No
NGA,2022.0,HYD,12567.4722322762,Hydropower,Bottom-up,No
NGA,2022.0,LFO,386.5555558648,Light Fuel Oil,Bottom-up,No
NGA,2022.0,NGA,20342.527794051803,Natural Gas,Bottom-up,No
NGA,2022.0,SOL,26.8888889104,Solar,Bottom-up,No
NGA,2022.0,WIN,21.472222239400004,Wind,Bottom-up,No
NGA,2023.0,BIO,26.1388889098,Biomass,Bottom-up,No
NGA,2023.0,COA,8893.138896003402,Coal,Bottom-up,No
NGA,2023.0,HFO,9671.0277855146,Heavy Fuel Oil,Bottom-up,No
NGA,2023.0,HYD,12567.4722322762,Hydropower,Bottom-up,No
NGA,2023.0,LFO,374.9444447444001,Light Fuel Oil,Bottom-up,No
NGA,2023.0,NGA,20934.9166834146,Natural Gas,Bottom-up,No
NGA,2023.0,SOL,84.0555556228,Solar,Bottom-up,No
NGA,2023.0,WIN,20.8611111278,Wind,Bottom-up,No
NGA,2024.0,BIO,24.583333353,Biomass,Bottom-up,No
NGA,2024.0,COA,21040.027794609803,Coal,Bottom-up,No
NGA,2024.0,HFO,1606.7222235076,Heavy Fuel Oil,Bottom-up,No
NGA,2024.0,HYD,13509.055566362802,Hydropower,Bottom-up,No
NGA,2024.0,LFO,363.6944447354,Light Fuel Oil,Bottom-up,No
NGA,2024.0,NGA,20279.6944606682,Natural Gas,Bottom-up,No
NGA,2024.0,SOL,116.7500000934,Solar,Bottom-up,No
NGA,2024.0,WIN,20.1944444606,Wind,Bottom-up,No
NGA,2025.0,BIO,15.3611111234,Biomass,Bottom-up,No
NGA,2025.0,COA,24573.2222418808,Coal,Bottom-up,No
NGA,2025.0,HFO,1506.3055567606,Heavy Fuel Oil,Bottom-up,No
NGA,2025.0,HYD,15194.027789933,Hydropower,Bottom-up,No
NGA,2025.0,LFO,352.86111139340005,Light Fuel Oil,Bottom-up,No
NGA,2025.0,NGA,19624.500015699603,Natural Gas,Bottom-up,No
NGA,2025.0,SOL,123.333333432,Solar,Bottom-up,No
NGA,2025.0,WIN,19.583333349,Wind,Bottom-up,No
NGA,2026.0,BIO,13.8333333444,Biomass,Bottom-up,No
NGA,2026.0,COA,28831.4444675096,Coal,Bottom-up,No
NGA,2026.0,HFO,1405.8888900136,Heavy Fuel Oil,Bottom-up,No
NGA,2026.0,HYD,16882.7500135062,Hydropower,Bottom-up,No
NGA,2026.0,LFO,336.388889158,Light Fuel Oil,Bottom-up,No
NGA,2026.0,NGA,18969.305570731,Natural Gas,Bottom-up,No
NGA,2026.0,SOL,491.5000003932,Solar,Bottom-up,No
NGA,2026.0,WIN,18.9444444596,Wind,Bottom-up,No
NGA,2027.0,BIO,12.3055555654,Biomass,Bottom-up,No
NGA,2027.0,COA,28831.4444675096,Coal,Bottom-up,No
NGA,2027.0,HFO,1305.4722232666,Heavy Fuel Oil,Bottom-up,No
NGA,2027.0,HYD,17965.833347706,Hydropower,Bottom-up,No
NGA,2027.0,LFO,270.5000002164,Light Fuel Oil,Bottom-up,No
NGA,2027.0,NGA,20828.1389055514,Natural Gas,Bottom-up,No
NGA,2027.0,SOL,953.6666674296,Solar,Bottom-up,No
NGA,2027.0,WIN,18.333333348,Wind,Bottom-up,No
NGA,2028.0,BIO,10.7500000086,Biomass,Bottom-up,No
NGA,2028.0,COA,28831.4444675096,Coal,Bottom-up,No
NGA,2028.0,HFO,1205.0555565196,Heavy Fuel Oil,Bottom-up,No
NGA,2028.0,HYD,19073.0000152584,Hydropower,Bottom-up,No
NGA,2028.0,LFO,128.47222232500002,Light Fuel Oil,Bottom-up,No
NGA,2028.0,NGA,23171.3333518704,Natural Gas,Bottom-up,No
NGA,2028.0,SOL,1640.4444457568,Solar,Bottom-up,No
NGA,2028.0,WIN,17.7222222364,Wind,Bottom-up,No
NGA,2029.0,BIO,9.2222222296,Biomass,Bottom-up,No
NGA,2029.0,COA,28831.4444675096,Coal,Bottom-up,No
NGA,2029.0,HFO,1104.6111119948,Heavy Fuel Oil,Bottom-up,No
NGA,2029.0,HYD,20720.2500165762,Hydropower,Bottom-up,No
