Country,y,f,Total installed capacity (GW),Source
SDN,2020,BIO,0.23808,Biomass
SDN,2020,HFO,1.905386,Heavy Fuel Oil
SDN,2020,HYD,1.9266,Hydropower
SDN,2020,LFO,0.5475382574513974,Light Fuel Oil
SDN,2020,SOL,0.012695,Solar
SDN,2021,BIO,4.302358786057323,Biomass
SDN,2021,HFO,1.8101167,Heavy Fuel Oil
SDN,2021,HYD,1.9266,Hydropower
SDN,2021,LFO,0.5299707574513974,Light Fuel Oil
SDN,2021,SOL,0.01229,Solar
SDN,2022,BIO,4.290454786057324,Biomass
SDN,2022,HFO,1.7148474,Heavy Fuel Oil
SDN,2022,HYD,1.9266,Hydropower
SDN,2022,LFO,0.5124032574513975,Light Fuel Oil
SDN,2022,SOL,0.011885,Solar
SDN,2023,BIO,4.278550786057323,Biomass
SDN,2023,HFO,1.6195781,Heavy Fuel Oil
SDN,2023,HYD,3.586640731575191,Hydropower
SDN,2023,LFO,0.4948357574513974,Light Fuel Oil
SDN,2023,SOL,0.01148,Solar
SDN,2024,BIO,4.266646786057324,Biomass
SDN,2024,GEO,0.1,Geothermal
SDN,2024,HFO,1.5243088,Heavy Fuel Oil
SDN,2024,HYD,4.847799999999999,Hydropower
SDN,2024,LFO,0.4772682574513974,Light Fuel Oil
SDN,2024,SOL,0.011075,Solar
SDN,2025,BIO,8.078114278075082,Biomass
SDN,2025,GEO,0.2,Geothermal
SDN,2025,HFO,1.4290395,Heavy Fuel Oil
SDN,2025,HYD,4.847799999999999,Hydropower
SDN,2025,LFO,0.4594080995290389,Light Fuel Oil
SDN,2025,SOL,0.01067,Solar
SDN,2026,BIO,8.406305595883403,Biomass
SDN,2026,GEO,0.3,Geothermal
SDN,2026,HFO,1.3337702,Heavy Fuel Oil
SDN,2026,HYD,4.847799999999999,Hydropower
SDN,2026,LFO,0.345945,Light Fuel Oil
SDN,2026,SOL,0.510265,Solar
SDN,2027,BIO,12.396502929180068,Biomass
SDN,2027,GEO,0.4,Geothermal
SDN,2027,HFO,1.2385009,Heavy Fuel Oil
SDN,2027,HYD,4.847799999999999,Hydropower
SDN,2027,LFO,0.2283775,Light Fuel Oil
SDN,2027,SOL,1.2598599999999995,Solar
SDN,2028,BIO,12.384598929180068,Biomass
SDN,2028,GEO,0.4,Geothermal
SDN,2028,HFO,1.1432316,Heavy Fuel Oil
SDN,2028,HYD,4.847799999999999,Hydropower
SDN,2028,LFO,0.21081,Light Fuel Oil
SDN,2028,SOL,2.5072251471097244,Solar
SDN,2029,BIO,12.372694929180067,Biomass
SDN,2029,GEO,0.4,Geothermal
SDN,2029,HFO,1.0479623,Heavy Fuel Oil
SDN,2029,HYD,4.847799999999999,Hydropower
SDN,2029,LFO,0.1932425,Light Fuel Oil
SDN,2029,SOL,3.75120258271865,Solar
SDN,2030,BIO,12.360790929180068,Biomass
SDN,2030,GEO,0.4,Geothermal
SDN,2030,HFO,0.952693,Heavy Fuel Oil
SDN,2030,HYD,4.847799999999999,Hydropower
SDN,2030,LFO,0.175675,Light Fuel Oil
SDN,2030,SOL,5.00079758271865,Solar
