Country,y,f,Total installed capacity (GW),Source
NAM,2020,BIO,0.00025,Biomass
NAM,2020,COA,0.12,Coal
NAM,2020,HFO,0.04795,Heavy Fuel Oil
NAM,2020,HYD,0.353,Hydropower
NAM,2020,LFO,0.0144211960378531,Light Fuel Oil
NAM,2020,SOL,0.05576305,Solar
NAM,2020,WIN,0.006,Wind
NAM,2021,BIO,0.0002375,Biomass
NAM,2021,COA,0.12,Coal
NAM,2021,HFO,0.0455525,Heavy Fuel Oil
NAM,2021,HYD,0.353,Hydropower
NAM,2021,LFO,0.0138311960378531,Light Fuel Oil
NAM,2021,SOL,0.1549611,Solar
NAM,2021,WIN,0.006,Wind
NAM,2022,BIO,0.000225,Biomass
NAM,2022,COA,0.12,Coal
NAM,2022,HFO,0.043155,Heavy Fuel Oil
NAM,2022,HYD,0.353,Hydropower
NAM,2022,LFO,0.0132411960378531,Light Fuel Oil
NAM,2022,SOL,0.25415915,Solar
NAM,2022,WIN,0.006,Wind
NAM,2023,BIO,0.0002125,Biomass
NAM,2023,COA,0.114,Coal
NAM,2023,HFO,0.0407575,Heavy Fuel Oil
NAM,2023,HYD,2.0,Hydropower
NAM,2023,LFO,0.0126511960378531,Light Fuel Oil
NAM,2023,SOL,0.3533572,Solar
NAM,2023,WIN,0.006,Wind
NAM,2024,BIO,0.0002,Biomass
NAM,2024,COA,0.108,Coal
NAM,2024,HFO,0.03836,Heavy Fuel Oil
NAM,2024,HYD,2.0,Hydropower
NAM,2024,LFO,0.0120611960378531,Light Fuel Oil
NAM,2024,SOL,0.4945201083482633,Solar
NAM,2024,WIN,0.006,Wind
NAM,2025,BIO,0.000125,Biomass
NAM,2025,COA,0.102,Coal
NAM,2025,HFO,0.0359625,Heavy Fuel Oil
NAM,2025,HYD,2.0,Hydropower
NAM,2025,LFO,0.0114711960378531,Light Fuel Oil
NAM,2025,SOL,0.7937181583482634,Solar
NAM,2025,WIN,0.006,Wind
NAM,2026,BIO,0.0001125,Biomass
NAM,2026,COA,0.096,Coal
NAM,2026,HFO,0.033565,Heavy Fuel Oil
NAM,2026,HYD,2.0,Hydropower
NAM,2026,LFO,0.0083843317558994,Light Fuel Oil
NAM,2026,SOL,1.0929162083482633,Solar
NAM,2026,WIN,0.006,Wind
NAM,2027,BIO,0.0001,Biomass
NAM,2027,COA,0.09,Coal
NAM,2027,HFO,0.0311675,Heavy Fuel Oil
NAM,2027,HYD,2.0,Hydropower
NAM,2027,LFO,0.00767,Light Fuel Oil
NAM,2027,SOL,1.3921142583482635,Solar
NAM,2027,WIN,0.006,Wind
NAM,2028,COA,0.084,Coal
NAM,2028,HFO,0.02877,Heavy Fuel Oil
NAM,2028,HYD,2.0,Hydropower
NAM,2028,LFO,0.00708,Light Fuel Oil
NAM,2028,SOL,1.6913123083482635,Solar
NAM,2028,WIN,0.006,Wind
NAM,2029,COA,0.078,Coal
NAM,2029,HFO,0.0263725,Heavy Fuel Oil
NAM,2029,HYD,2.0,Hydropower
NAM,2029,LFO,0.00649,Light Fuel Oil
NAM,2029,SOL,1.9905103583482635,Solar
NAM,2029,WIN,0.006,Wind
NAM,2030,COA,0.072,Coal
NAM,2030,HFO,0.023975,Heavy Fuel Oil
NAM,2030,HYD,2.0,Hydropower
NAM,2030,LFO,0.0059,Light Fuel Oil
NAM,2030,SOL,2.2897084083482637,Solar
NAM,2030,WIN,0.006,Wind
