Country,y,f,Total annual production (GWh),Source
CIV,2020.0,HFO,67.52777783180001,Heavy Fuel Oil
CIV,2020.0,HYD,2422.9444463828,Hydropower
CIV,2020.0,Imports (GHA),2721.3055577326,Imports (GHA)
CIV,2020.0,Imports (LBR),986.4722230114,Imports (LBR)
CIV,2020.0,LFO,327.2500002618,Light Fuel Oil
CIV,2020.0,NGA,4837.916670537,Natural Gas
CIV,2020.0,SOL,5.4444444488,Solar
CIV,2021.0,BIO,12697.5555657136,Biomass
CIV,2021.0,HFO,12.8333333436,Heavy Fuel Oil
CIV,2021.0,HYD,2422.9444463828,Hydropower
CIV,2021.0,Imports (GHA),541.1944448774,Imports (GHA)
CIV,2021.0,LFO,312.1388891386,Light Fuel Oil
CIV,2021.0,NGA,4614.388892580399,Natural Gas
CIV,2021.0,SOL,5.2222222264,Solar
CIV,2022.0,BIO,12697.5555657136,Biomass
CIV,2022.0,HFO,12.1666666764,Heavy Fuel Oil
CIV,2022.0,HYD,2422.9444463828,Hydropower
CIV,2022.0,Imports (GHA),2721.3055577326,Imports (GHA)
CIV,2022.0,LFO,297.8611113494,Light Fuel Oil
CIV,2022.0,NGA,4472.1388924666,Natural Gas
CIV,2022.0,SOL,5.000000003999999,Solar
CIV,2023.0,BIO,12697.5555657136,Biomass
CIV,2023.0,HFO,11.472222231400002,Heavy Fuel Oil
CIV,2023.0,HYD,7916.2777841108,Hydropower
CIV,2023.0,Imports (LBR),2686.8333354828,Imports (LBR)
CIV,2023.0,LFO,244.9444446404,Light Fuel Oil
CIV,2023.0,NGA,1034.1944452718,Natural Gas
CIV,2023.0,SOL,4.7777777816,Solar
CIV,2024.0,BIO,12697.5555657136,Biomass
CIV,2024.0,HFO,10.8055555642,Heavy Fuel Oil
CIV,2024.0,HYD,7916.2777841108,Hydropower
CIV,2024.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2024.0,LFO,232.2500001858,Light Fuel Oil
CIV,2024.0,NGA,973.3611118898,Natural Gas
CIV,2024.0,SOL,4.555555559200001,Solar
CIV,2025.0,BIO,12697.5555657136,Biomass
CIV,2025.0,HFO,10.138888897,Heavy Fuel Oil
CIV,2025.0,HYD,7916.2777841108,Hydropower
CIV,2025.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2025.0,LFO,219.5555557312,Light Fuel Oil
CIV,2025.0,NGA,1591.3333346064005,Natural Gas
CIV,2025.0,SOL,4.305555559,Solar
CIV,2026.0,BIO,12697.5555657136,Biomass
CIV,2026.0,HFO,9.444444452,Heavy Fuel Oil
CIV,2026.0,HYD,7916.2777841108,Hydropower
CIV,2026.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2026.0,LFO,188.333333484,Light Fuel Oil
CIV,2026.0,NGA,1956.9722237878,Natural Gas
CIV,2026.0,SOL,4.0833333366,Solar
CIV,2027.0,BIO,14415.5833448658,Biomass
CIV,2027.0,HFO,8.777777784800001,Heavy Fuel Oil
CIV,2027.0,HYD,7916.2777841108,Hydropower
CIV,2027.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2027.0,LFO,174.8888890288,Light Fuel Oil
CIV,2027.0,NGA,1180.5000009444002,Natural Gas
CIV,2027.0,SOL,3.8611111142,Solar
CIV,2028.0,BIO,16003.583346136202,Biomass
CIV,2028.0,HFO,8.1111111176,Heavy Fuel Oil
CIV,2028.0,HYD,7916.2777841108,Hydropower
CIV,2028.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2028.0,LFO,161.41666679579998,Light Fuel Oil
CIV,2028.0,NGA,909.2222229496,Natural Gas
CIV,2028.0,SOL,506.7222226276,Solar
CIV,2029.0,BIO,16800.4722356626,Biomass
CIV,2029.0,HFO,7.416666672600001,Heavy Fuel Oil
CIV,2029.0,HYD,7916.2777841108,Hydropower
CIV,2029.0,Imports (GHA),285.36111133940005,Imports (GHA)
CIV,2029.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2029.0,LFO,147.97222234059998,Light Fuel Oil
CIV,2029.0,NGA,669.1944449798,Natural Gas
CIV,2029.0,SOL,1009.583334141,Solar
CIV,2030.0,BIO,16800.4722356626,Biomass
CIV,2030.0,HFO,6.7500000054,Heavy Fuel Oil
CIV,2030.0,HYD,7916.2777841108,Hydropower
CIV,2030.0,Imports (LBR),2809.5000022476,Imports (LBR)
CIV,2030.0,Imports (MLI),36.0555555844,Imports (MLI)
CIV,2030.0,LFO,134.5277778854,Light Fuel Oil
CIV,2030.0,NGA,608.33333382,Natural Gas
CIV,2030.0,SOL,1676.0833346742002,Solar
