Country,y,f,Total annual production (GWh),Source
UGA,2020.0,HYD,6127.3888937908,Hydropower
UGA,2020.0,LFO,139.2500001114,Light Fuel Oil
UGA,2020.0,SOL,53.66666670960001,Solar
UGA,2021.0,BIO,229.444444628,Biomass
UGA,2021.0,HYD,6127.3888937908,Hydropower
UGA,2021.0,LFO,132.4722223282,Light Fuel Oil
UGA,2021.0,SOL,64.88888894080002,Solar
UGA,2022.0,BIO,217.361111285,Biomass
UGA,2022.0,HFO,434.305555903,Heavy Fuel Oil
UGA,2022.0,HYD,6127.3888937908,Hydropower
UGA,2022.0,LFO,125.4722223226,Light Fuel Oil
UGA,2022.0,NGA,2330.972224087,Natural Gas
UGA,2022.0,SOL,63.416666717400005,Solar
UGA,2023.0,BIO,205.277777942,Biomass
UGA,2023.0,HFO,410.1666669948,Heavy Fuel Oil
UGA,2023.0,HYD,6127.3888937908,Hydropower
UGA,2023.0,Imports (KEN),2357.8888907752003,Imports (KEN)
UGA,2023.0,LFO,118.472222317,Light Fuel Oil
UGA,2023.0,NGA,1721.8611124886,Natural Gas
UGA,2023.0,SOL,61.94444449400001,Solar
UGA,2024.0,BIO,193.2222223768,Biomass
UGA,2024.0,GEO,744.6111117068001,Geothermal
UGA,2024.0,HFO,386.0555558644,Heavy Fuel Oil
UGA,2024.0,HYD,6127.3888937908,Hydropower
UGA,2024.0,Imports (KEN),2680.5277799222004,Imports (KEN)
UGA,2024.0,LFO,111.527777867,Light Fuel Oil
UGA,2024.0,NGA,2175.1111128512,Natural Gas
UGA,2024.0,SOL,60.44444449280001,Solar
UGA,2025.0,BIO,120.7500000966,Biomass
UGA,2025.0,GEO,1489.1944456358,Geothermal
UGA,2025.0,HFO,361.9166669562,Heavy Fuel Oil
UGA,2025.0,HYD,6138.6388937998,Hydropower
UGA,2025.0,Imports (KEN),3689.0833362846006,Imports (KEN)
UGA,2025.0,LFO,104.5555556392,Light Fuel Oil
UGA,2025.0,NGA,3069.4166691222,Natural Gas
UGA,2025.0,SOL,58.97222226940001,Solar
UGA,2026.0,BIO,108.6666667536,Biomass
UGA,2026.0,GEO,2233.8055573426004,Geothermal
UGA,2026.0,HFO,337.777778048,Heavy Fuel Oil
UGA,2026.0,HYD,6138.6388937998,Hydropower
UGA,2026.0,Imports (KEN),4697.5277815358,Imports (KEN)
UGA,2026.0,LFO,97.5833334114,Light Fuel Oil
UGA,2026.0,NGA,3761.527780787,Natural Gas
UGA,2026.0,SOL,57.500000046,Solar
UGA,2027.0,BIO,96.6111111884,Biomass
UGA,2027.0,GEO,2978.3888912716,Geothermal
UGA,2027.0,HFO,313.6666669176,Heavy Fuel Oil
UGA,2027.0,HYD,6138.6388937998,Hydropower
UGA,2027.0,Imports (KEN),4375.8611146118,Imports (KEN)
UGA,2027.0,LFO,90.6388889614,Light Fuel Oil
UGA,2027.0,NGA,3977.527780959801,Natural Gas
UGA,2027.0,SOL,56.02777782260001,Solar
UGA,2028.0,BIO,84.52777784540001,Biomass
UGA,2028.0,GEO,3350.6944471250004,Geothermal
UGA,2028.0,HFO,289.52777800940004,Heavy Fuel Oil
UGA,2028.0,HYD,6138.6388937998,Hydropower
UGA,2028.0,Imports (KEN),5138.1388929994,Imports (KEN)
UGA,2028.0,LFO,83.55555562240001,Light Fuel Oil
UGA,2028.0,NGA,4518.0000036144,Natural Gas
UGA,2028.0,SOL,54.555555599200005,Solar
UGA,2029.0,BIO,72.4444445024,Biomass
UGA,2029.0,GEO,3350.6944471250004,Geothermal
UGA,2029.0,HFO,265.416666879,Heavy Fuel Oil
UGA,2029.0,HYD,6138.6388937998,Hydropower
UGA,2029.0,Imports (KEN),5138.8333374444,Imports (KEN)
UGA,2029.0,Imports (TZA),60.25000004820001,Imports (TZA)
UGA,2029.0,LFO,76.5833333946,Light Fuel Oil
UGA,2029.0,NGA,4912.4444483744,Natural Gas
UGA,2029.0,SOL,53.08333337580001,Solar
UGA,2030.0,BIO,60.38888893720001,Biomass
UGA,2030.0,GEO,3350.6944471250004,Geothermal
UGA,2030.0,HFO,241.27777797080003,Heavy Fuel Oil
UGA,2030.0,HYD,6138.6388937998,Hydropower
UGA,2030.0,Imports (KEN),5160.694448573,Imports (KEN)
UGA,2030.0,Imports (RWA),7.6111111172,Imports (RWA)
UGA,2030.0,Imports (TZA),665.7500005326001,Imports (TZA)
UGA,2030.0,LFO,69.6388889446,Light Fuel Oil
UGA,2030.0,NGA,5216.8333375068005,Natural Gas
UGA,2030.0,SOL,69.38888894440001,Solar
