Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
BDI,2020.0,EL3E,291.66666690000005,Current electrified,Bottom-up,No
BDI,2021.0,EL3E,299.0833335726,Current electrified,Bottom-up,No
BDI,2021.0,EL3U,116.111111204,New electrified,Bottom-up,No
BDI,2022.0,EL3E,305.7777780224,Current electrified,Bottom-up,No
BDI,2022.0,EL3U,232.222222408,New electrified,Bottom-up,No
BDI,2023.0,EL3E,311.77777802720004,Current electrified,Bottom-up,No
BDI,2023.0,EL3U,348.333333612,New electrified,Bottom-up,No
BDI,2024.0,EL3E,317.25000025380007,Current electrified,Bottom-up,No
BDI,2024.0,EL3U,464.444444816,New electrified,Bottom-up,No
BDI,2025.0,EL3E,334.027778045,Current electrified,Bottom-up,No
BDI,2025.0,EL3U,580.55555602,New electrified,Bottom-up,No
BDI,2026.0,EL3E,350.972222503,Current electrified,Bottom-up,No
BDI,2026.0,EL3U,696.666667224,New electrified,Bottom-up,No
BDI,2027.0,EL3E,368.1666669612,Current electrified,Bottom-up,No
BDI,2027.0,EL3U,744.583333929,New electrified,Bottom-up,No
BDI,2028.0,EL3E,385.555555864,Current electrified,Bottom-up,No
BDI,2028.0,EL3U,792.5000006340001,New electrified,Bottom-up,No
BDI,2029.0,EL3E,403.11111143360006,Current electrified,Bottom-up,No
BDI,2029.0,EL3U,840.416667339,New electrified,Bottom-up,No
BDI,2030.0,EL3E,423.3611114498,Current electrified,Bottom-up,No
BDI,2030.0,EL3U,888.333334044,New electrified,Bottom-up,No
BDI,2020.0,TZAEL1,131.666666772,Exports (TZA),Bottom-up,No
BDI,2021.0,TZAEL1,28.2500000226,Exports (TZA),Bottom-up,No
BDI,2022.0,TZAEL1,25.055555575600003,Exports (TZA),Bottom-up,No
BDI,2023.0,TZAEL1,22.361111129,Exports (TZA),Bottom-up,No
BDI,2024.0,TZAEL1,68.94444449960001,Exports (TZA),Bottom-up,No
BDI,2025.0,RWAEL1,113.05555564600002,Exports (RWA),Bottom-up,No
BDI,2026.0,CODEL1,99.5555556352,Exports (COD),Bottom-up,No
BDI,2026.0,TZAEL1,7.888888895200001,Exports (TZA),Bottom-up,No
BDI,2027.0,CODEL1,37.1944444742,Exports (COD),Bottom-up,No
BDI,2027.0,TZAEL1,20.7777777944,Exports (TZA),Bottom-up,No
BDI,2028.0,TZAEL1,14.7500000118,Exports (TZA),Bottom-up,No
BDI,2029.0,TZAEL1,7.2777777836,Exports (TZA),Bottom-up,No
BDI,2030.0,TZAEL1,21.0000000168,Exports (TZA),Bottom-up,No
BDI,2020.0,EL3E,291.66666690000005,Current electrified,Bottom-up,High
BDI,2021.0,EL3E,299.0833335726,Current electrified,Bottom-up,High
BDI,2021.0,EL3U,116.111111204,New electrified,Bottom-up,High
BDI,2022.0,EL3E,305.7500002446,Current electrified,Bottom-up,High
