Country,y,f,Total installed capacity (GW),Source,Scenario,Carbon Price
TGO,2020,HFO,0.00125,Heavy Fuel Oil,Bottom-up,No
TGO,2020,HYD,0.1407,Hydropower,Bottom-up,No
TGO,2020,LFO,0.0735999037037566,Light Fuel Oil,Bottom-up,No
TGO,2020,SOL,0.00295,Solar,Bottom-up,No
TGO,2021,HFO,0.0011875,Heavy Fuel Oil,Bottom-up,No
TGO,2021,HYD,0.1407,Hydropower,Bottom-up,No
TGO,2021,LFO,0.0700942037037566,Light Fuel Oil,Bottom-up,No
TGO,2021,SOL,0.0029,Solar,Bottom-up,No
TGO,2022,GAS,0.0046278641223404,Natural Gas,Bottom-up,No
TGO,2022,HFO,0.001125,Heavy Fuel Oil,Bottom-up,No
TGO,2022,HYD,0.1407,Hydropower,Bottom-up,No
TGO,2022,LFO,0.0665885037037566,Light Fuel Oil,Bottom-up,No
TGO,2022,SOL,0.00285,Solar,Bottom-up,No
TGO,2023,GAS,0.0046278641223404,Natural Gas,Bottom-up,No
TGO,2023,HFO,0.0010625,Heavy Fuel Oil,Bottom-up,No
TGO,2023,HYD,0.1509713766577718,Hydropower,Bottom-up,No
TGO,2023,LFO,0.0630828037037566,Light Fuel Oil,Bottom-up,No
TGO,2023,SOL,0.0028,Solar,Bottom-up,No
TGO,2024,COA,0.3298986872450914,Coal,Bottom-up,No
TGO,2024,GAS,0.0046278641223404,Natural Gas,Bottom-up,No
TGO,2024,HFO,0.001,Heavy Fuel Oil,Bottom-up,No
TGO,2024,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2024,LFO,0.0595771037037566,Light Fuel Oil,Bottom-up,No
TGO,2024,SOL,0.00275,Solar,Bottom-up,No
TGO,2025,COA,0.4254007267023246,Coal,Bottom-up,No
TGO,2025,GAS,0.0046357885472074,Natural Gas,Bottom-up,No
TGO,2025,HFO,0.0009375,Heavy Fuel Oil,Bottom-up,No
TGO,2025,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2025,LFO,0.0560714037037566,Light Fuel Oil,Bottom-up,No
TGO,2025,SOL,0.0294203611093342,Solar,Bottom-up,No
TGO,2026,COA,0.496124175992238,Coal,Bottom-up,No
TGO,2026,GAS,0.0051860508300661,Natural Gas,Bottom-up,No
TGO,2026,HFO,0.000875,Heavy Fuel Oil,Bottom-up,No
TGO,2026,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2026,LFO,0.0525657037037566,Light Fuel Oil,Bottom-up,No
TGO,2026,SOL,0.0590479921988576,Solar,Bottom-up,No
TGO,2027,COA,0.497749051166959,Coal,Bottom-up,No
TGO,2027,GAS,0.0051949007461583,Natural Gas,Bottom-up,No
TGO,2027,HFO,0.0008125,Heavy Fuel Oil,Bottom-up,No
TGO,2027,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2027,LFO,0.0455741,Light Fuel Oil,Bottom-up,No
TGO,2027,SOL,0.0967314837385378,Solar,Bottom-up,No
TGO,2028,COA,0.497749051166959,Coal,Bottom-up,No
TGO,2028,GAS,0.0051949007461583,Natural Gas,Bottom-up,No
TGO,2028,HFO,0.00075,Heavy Fuel Oil,Bottom-up,No
TGO,2028,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2028,LFO,0.0420684,Light Fuel Oil,Bottom-up,No
TGO,2028,SOL,0.1272909021619274,Solar,Bottom-up,No
TGO,2029,COA,0.497749051166959,Coal,Bottom-up,No
TGO,2029,GAS,0.0051949007461583,Natural Gas,Bottom-up,No
TGO,2029,HFO,0.0006875,Heavy Fuel Oil,Bottom-up,No
TGO,2029,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2029,LFO,0.0385627,Light Fuel Oil,Bottom-up,No
TGO,2029,SOL,0.1583018998381354,Solar,Bottom-up,No
TGO,2030,COA,0.497749051166959,Coal,Bottom-up,No
TGO,2030,GAS,0.0051949007461583,Natural Gas,Bottom-up,No
TGO,2030,HFO,0.000625,Heavy Fuel Oil,Bottom-up,No
TGO,2030,HYD,0.3016,Hydropower,Bottom-up,No
TGO,2030,LFO,0.035057,Light Fuel Oil,Bottom-up,No
TGO,2030,SOL,0.2017631042146827,Solar,Bottom-up,No
TGO,2020,HFO,0.00125,Heavy Fuel Oil,Bottom-up,High
TGO,2020,HYD,0.1407,Hydropower,Bottom-up,High
TGO,2020,LFO,0.0735561725877765,Light Fuel Oil,Bottom-up,High
TGO,2020,SOL,0.00295,Solar,Bottom-up,High
TGO,2021,BIO,0.3203142316907063,Biomass,Bottom-up,High
TGO,2021,HFO,0.0011875,Heavy Fuel Oil,Bottom-up,High
TGO,2021,HYD,0.1407,Hydropower,Bottom-up,High
TGO,2021,LFO,0.0700504725877765,Light Fuel Oil,Bottom-up,High
TGO,2021,SOL,0.0029,Solar,Bottom-up,High
TGO,2022,BIO,0.4768968034746152,Biomass,Bottom-up,High
TGO,2022,HFO,0.001125,Heavy Fuel Oil,Bottom-up,High
TGO,2022,HYD,0.1407,Hydropower,Bottom-up,High
TGO,2022,LFO,0.0665447725877765,Light Fuel Oil,Bottom-up,High
TGO,2022,SOL,0.00285,Solar,Bottom-up,High
TGO,2023,BIO,0.4768968034746152,Biomass,Bottom-up,High
TGO,2023,HFO,0.0010625,Heavy Fuel Oil,Bottom-up,High
TGO,2023,HYD,0.3016,Hydropower,Bottom-up,High
TGO,2023,LFO,0.0630390725877765,Light Fuel Oil,Bottom-up,High
TGO,2023,SOL,0.0028,Solar,Bottom-up,High
TGO,2024,BIO,0.4768968034746152,Biomass,Bottom-up,High
TGO,2024,HFO,0.001,Heavy Fuel Oil,Bottom-up,High
TGO,2024,HYD,0.3016,Hydropower,Bottom-up,High
TGO,2024,LFO,0.0595333725877765,Light Fuel Oil,Bottom-up,High
TGO,2024,SOL,0.0290444679237202,Solar,Bottom-up,High
TGO,2025,BIO,0.5665499319974417,Biomass,Bottom-up,High
TGO,2025,HFO,0.0009375,Heavy Fuel Oil,Bottom-up,High
