Country,y,f,Total annual demand (GWh),Demand type
AGO,2020.0,EL3E,12014.694454056202,Current electrified
AGO,2021.0,EL3E,11782.916676092998,Current electrified
AGO,2021.0,EL3U,1186.4722231714002,New electrified
AGO,2022.0,EL3E,12643.6944545594,Current electrified
AGO,2022.0,EL3U,2372.9722241206,New electrified
AGO,2023.0,EL3E,13531.5000108252,Current electrified
AGO,2023.0,EL3U,3559.444447292,New electrified
AGO,2024.0,EL3E,14447.500011558,Current electrified
AGO,2024.0,EL3U,4745.9166704634,New electrified
AGO,2025.0,EL3E,15392.8333456476,Current electrified
AGO,2025.0,EL3U,5932.4166714126,New electrified
AGO,2026.0,EL3E,16408.7222353492,Current electrified
AGO,2026.0,EL3U,7118.888894584,New electrified
AGO,2027.0,EL3E,17455.6111250756,Current electrified
AGO,2027.0,EL3U,7501.5833393346,New electrified
AGO,2028.0,EL3E,18533.8611259382,Current electrified
AGO,2028.0,EL3U,7884.305561863001,New electrified
AGO,2029.0,EL3E,19643.6389046038,Current electrified
AGO,2029.0,EL3U,8267.0277843914,New electrified
AGO,2030.0,EL3E,20784.888905516804,Current electrified
AGO,2030.0,EL3U,8649.722229142,New electrified
AGO,2020.0,CODEL1,2739.5277799694,Exports (COD)
AGO,2021.0,CODEL1,2446.2222241792,Exports (COD)
AGO,2022.0,CODEL1,1403.9722233454,Exports (COD)
AGO,2023.0,CODEL1,648.0833338518,Exports (COD)
AGO,2024.0,CODEL1,3743.888891884,Exports (COD)
AGO,2025.0,CODEL1,1665.6388902214,Exports (COD)
AGO,2026.0,CODEL1,809.8333339812,Exports (COD)
AGO,2027.0,CODEL1,477.222222604,Exports (COD)
AGO,2028.0,CODEL1,1403.9722233454,Exports (COD)
AGO,2029.0,CODEL1,1318.7222232772,Exports (COD)
AGO,2030.0,CODEL1,1276.8888899104002,Exports (COD)
