Country,y,f,Total annual demand (GWh),Demand type
MRT,2020.0,EL3E,1249.2777787772,Current electrified
MRT,2021.0,EL3E,1427.8611122534,Current electrified
MRT,2021.0,EL3U,120.63888898540002,New electrified
MRT,2022.0,EL3E,1604.9444457284,Current electrified
MRT,2022.0,EL3U,241.30555574860003,New electrified
MRT,2023.0,EL3E,1780.8055569802,Current electrified
MRT,2023.0,EL3U,361.944444734,New electrified
MRT,2024.0,EL3E,1955.7222237868,Current electrified
MRT,2024.0,EL3U,482.58333371940006,New electrified
MRT,2025.0,EL3E,2059.9444460924,Current electrified
MRT,2025.0,EL3U,603.2500004826001,New electrified
MRT,2026.0,EL3E,2163.5833350642,Current electrified
MRT,2026.0,EL3U,723.888889468,New electrified
MRT,2027.0,EL3E,2266.5833351466003,Current electrified
MRT,2027.0,EL3U,762.1388894986001,New electrified
MRT,2028.0,EL3E,2369.0833352286004,Current electrified
MRT,2028.0,EL3U,800.416667307,New electrified
MRT,2029.0,EL3E,2471.1111130880004,Current electrified
MRT,2029.0,EL3U,838.6944451154,New electrified
MRT,2030.0,EL3E,2578.5000020628004,Current electrified
MRT,2030.0,EL3U,876.944445146,New electrified
MRT,2020.0,SENEL1,832.1944451101999,Exports (SEN)
MRT,2021.0,SENEL1,161.8333334628,Exports (SEN)
MRT,2022.0,SENEL1,108.1666667532,Exports (SEN)
MRT,2029.0,SENEL1,60.80555560420001,Exports (SEN)
MRT,2030.0,SENEL1,153.94444456760002,Exports (SEN)
