Country,y,f,Total annual demand (GWh),Demand type
ERI,2020.0,EL3E,427.4444447864001,Current electrified
ERI,2021.0,EL3E,438.3611114618,Current electrified
ERI,2021.0,EL3U,68.38888894360001,New electrified
ERI,2022.0,EL3E,448.1388892474,Current electrified
ERI,2022.0,EL3U,136.75000010940002,New electrified
ERI,2023.0,EL3E,456.9722225878001,Current electrified
ERI,2023.0,EL3U,205.138889053,New electrified
ERI,2024.0,EL3E,464.9722225942,Current electrified
ERI,2024.0,EL3U,273.52777799660004,New electrified
ERI,2025.0,EL3E,489.5555559472,Current electrified
ERI,2025.0,EL3U,341.8888891624,New electrified
ERI,2026.0,EL3E,514.444444856,Current electrified
ERI,2026.0,EL3U,410.277778106,New electrified
ERI,2027.0,EL3E,539.6388893206,Current electrified
ERI,2027.0,EL3U,454.16666703,New electrified
ERI,2028.0,EL3E,565.138889341,Current electrified
ERI,2028.0,EL3U,498.055555954,New electrified
ERI,2029.0,EL3E,590.8333338059999,Current electrified
ERI,2029.0,EL3U,541.944444878,New electrified
ERI,2030.0,EL3E,620.5000004964,Current electrified
ERI,2030.0,EL3U,585.833333802,New electrified
