r,t,y,TotalCapacityAnnual
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,0.045
REGION,AGOBIOCHP01N,2018,0.045
REGION,AGOBIOCHP01N,2019,0.045
REGION,AGOBIOCHP01N,2020,0.045
REGION,AGOBIOCHP01N,2021,0.045
REGION,AGOBIOCHP01N,2022,0.045
REGION,AGOBIOCHP01N,2023,0.045
REGION,AGOBIOCHP01N,2024,0.045
REGION,AGOBIOCHP01N,2025,0.045
REGION,AGOBIOCHP01N,2026,0.045
REGION,AGOBIOCHP01N,2027,0.045
REGION,AGOBIOCHP01N,2028,0.045
REGION,AGOBIOCHP01N,2029,0.045
REGION,AGOBIOCHP01N,2030,0.045
REGION,AGOBIOCHP01N,2031,0.045
REGION,AGOBIOCHP01N,2032,0.045
REGION,AGOBIOCHP01N,2033,0.045
REGION,AGOBIOCHP01N,2034,0.045
REGION,AGOBIOCHP01N,2035,0.045
REGION,AGOBIOCHP01N,2036,0.045
REGION,AGOBIOCHP01N,2037,0.045
REGION,AGOBIOCHP01N,2038,0.045
REGION,AGOBIOCHP01N,2039,0.045
REGION,AGOBIOCHP01N,2040,0.045
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,99999.0
REGION,AGOBIODIP00X,2016,199998.0
REGION,AGOBIODIP00X,2017,299997.0
REGION,AGOBIODIP00X,2018,399996.0
REGION,AGOBIODIP00X,2019,499995.0
REGION,AGOBIODIP00X,2020,599994.0
REGION,AGOBIODIP00X,2021,699993.0
REGION,AGOBIODIP00X,2022,799992.0
REGION,AGOBIODIP00X,2023,899991.0
REGION,AGOBIODIP00X,2024,999990.0
REGION,AGOBIODIP00X,2025,1099989.0
REGION,AGOBIODIP00X,2026,1199988.0
REGION,AGOBIODIP00X,2027,1299987.0
REGION,AGOBIODIP00X,2028,1399986.0
REGION,AGOBIODIP00X,2029,1499985.0
REGION,AGOBIODIP00X,2030,1599984.0
REGION,AGOBIODIP00X,2031,1699983.0
REGION,AGOBIODIP00X,2032,1799982.0
REGION,AGOBIODIP00X,2033,1899981.0
REGION,AGOBIODIP00X,2034,1999980.0
REGION,AGOBIODIP00X,2035,2099979.0
REGION,AGOBIODIP00X,2036,2199978.0
REGION,AGOBIODIP00X,2037,2299977.0
REGION,AGOBIODIP00X,2038,2399976.0
REGION,AGOBIODIP00X,2039,2499975.0
REGION,AGOBIODIP00X,2040,2599974.0
REGION,AGOBIOIMP00X,2015,99999.0
REGION,AGOBIOIMP00X,2016,199998.0
REGION,AGOBIOIMP00X,2017,299997.0
REGION,AGOBIOIMP00X,2018,399996.0
REGION,AGOBIOIMP00X,2019,499995.0
REGION,AGOBIOIMP00X,2020,599994.0
REGION,AGOBIOIMP00X,2021,699993.0
REGION,AGOBIOIMP00X,2022,799992.0
REGION,AGOBIOIMP00X,2023,899991.0
REGION,AGOBIOIMP00X,2024,999990.0
REGION,AGOBIOIMP00X,2025,1099989.0
REGION,AGOBIOIMP00X,2026,1199988.0
REGION,AGOBIOIMP00X,2027,1299987.0
REGION,AGOBIOIMP00X,2028,1399986.0
REGION,AGOBIOIMP00X,2029,1499985.0
REGION,AGOBIOIMP00X,2030,1599984.0
REGION,AGOBIOIMP00X,2031,1699983.0
REGION,AGOBIOIMP00X,2032,1799982.0
REGION,AGOBIOIMP00X,2033,1899981.0
REGION,AGOBIOIMP00X,2034,1999980.0
REGION,AGOBIOIMP00X,2035,2099979.0
REGION,AGOBIOIMP00X,2036,2199978.0
REGION,AGOBIOIMP00X,2037,2299977.0
REGION,AGOBIOIMP00X,2038,2399976.0
REGION,AGOBIOIMP00X,2039,2499975.0
REGION,AGOBIOIMP00X,2040,2599974.0
REGION,AGOBIOPRP00X,2015,99999.0
REGION,AGOBIOPRP00X,2016,199998.0
REGION,AGOBIOPRP00X,2017,299997.0
REGION,AGOBIOPRP00X,2018,399996.0
REGION,AGOBIOPRP00X,2019,499995.0
REGION,AGOBIOPRP00X,2020,599994.0
REGION,AGOBIOPRP00X,2021,699993.0
REGION,AGOBIOPRP00X,2022,799992.0
REGION,AGOBIOPRP00X,2023,899991.0
REGION,AGOBIOPRP00X,2024,999990.0
REGION,AGOBIOPRP00X,2025,1099989.0
REGION,AGOBIOPRP00X,2026,1199988.0
REGION,AGOBIOPRP00X,2027,1299987.0
REGION,AGOBIOPRP00X,2028,1399986.0
REGION,AGOBIOPRP00X,2029,1499985.0
REGION,AGOBIOPRP00X,2030,1599984.0
REGION,AGOBIOPRP00X,2031,1699983.0
REGION,AGOBIOPRP00X,2032,1799982.0
REGION,AGOBIOPRP00X,2033,1899981.0
REGION,AGOBIOPRP00X,2034,1999980.0
REGION,AGOBIOPRP00X,2035,2099979.0
REGION,AGOBIOPRP00X,2036,2199978.0
REGION,AGOBIOPRP00X,2037,2299977.0
REGION,AGOBIOPRP00X,2038,2399976.0
REGION,AGOBIOPRP00X,2039,2499975.0
REGION,AGOBIOPRP00X,2040,2599974.0
REGION,AGOCO1DIP00X,2015,99999.0
REGION,AGOCO1DIP00X,2016,199998.0
REGION,AGOCO1DIP00X,2017,299997.0
REGION,AGOCO1DIP00X,2018,399996.0
REGION,AGOCO1DIP00X,2019,499995.0
REGION,AGOCO1DIP00X,2020,599994.0
REGION,AGOCO1DIP00X,2021,699993.0
REGION,AGOCO1DIP00X,2022,799992.0
REGION,AGOCO1DIP00X,2023,899991.0
REGION,AGOCO1DIP00X,2024,999990.0
REGION,AGOCO1DIP00X,2025,1099989.0
REGION,AGOCO1DIP00X,2026,1199988.0
REGION,AGOCO1DIP00X,2027,1299987.0
REGION,AGOCO1DIP00X,2028,1399986.0
REGION,AGOCO1DIP00X,2029,1499985.0
REGION,AGOCO1DIP00X,2030,1599984.0
REGION,AGOCO1DIP00X,2031,1699983.0
REGION,AGOCO1DIP00X,2032,1799982.0
REGION,AGOCO1DIP00X,2033,1899981.0
REGION,AGOCO1DIP00X,2034,1999980.0
REGION,AGOCO1DIP00X,2035,2099979.0
REGION,AGOCO1DIP00X,2036,2199978.0
REGION,AGOCO1DIP00X,2037,2299977.0
REGION,AGOCO1DIP00X,2038,2399976.0
REGION,AGOCO1DIP00X,2039,2499975.0
REGION,AGOCO1DIP00X,2040,2599974.0
REGION,AGOCO1EXP00X,2015,99999.0
REGION,AGOCO1EXP00X,2016,199998.0
REGION,AGOCO1EXP00X,2017,299997.0
REGION,AGOCO1EXP00X,2018,399996.0
REGION,AGOCO1EXP00X,2019,499995.0
REGION,AGOCO1EXP00X,2020,599994.0
REGION,AGOCO1EXP00X,2021,699993.0
REGION,AGOCO1EXP00X,2022,799992.0
REGION,AGOCO1EXP00X,2023,899991.0
REGION,AGOCO1EXP00X,2024,999990.0
REGION,AGOCO1EXP00X,2025,1099989.0
REGION,AGOCO1EXP00X,2026,1199988.0
REGION,AGOCO1EXP00X,2027,1299987.0
REGION,AGOCO1EXP00X,2028,1399986.0
REGION,AGOCO1EXP00X,2029,1499985.0
REGION,AGOCO1EXP00X,2030,1599984.0
REGION,AGOCO1EXP00X,2031,1699983.0
REGION,AGOCO1EXP00X,2032,1799982.0
REGION,AGOCO1EXP00X,2033,1899981.0
REGION,AGOCO1EXP00X,2034,1999980.0
REGION,AGOCO1EXP00X,2035,2099979.0
REGION,AGOCO1EXP00X,2036,2199978.0
REGION,AGOCO1EXP00X,2037,2299977.0
REGION,AGOCO1EXP00X,2038,2399976.0
REGION,AGOCO1EXP00X,2039,2499975.0
REGION,AGOCO1EXP00X,2040,2599974.0
REGION,AGOCO1IMP00X,2015,99999.0
REGION,AGOCO1IMP00X,2016,199998.0
REGION,AGOCO1IMP00X,2017,299997.0
REGION,AGOCO1IMP00X,2018,399996.0
REGION,AGOCO1IMP00X,2019,499995.0
REGION,AGOCO1IMP00X,2020,599994.0
REGION,AGOCO1IMP00X,2021,699993.0
REGION,AGOCO1IMP00X,2022,799992.0
REGION,AGOCO1IMP00X,2023,899991.0
REGION,AGOCO1IMP00X,2024,999990.0
REGION,AGOCO1IMP00X,2025,1099989.0
REGION,AGOCO1IMP00X,2026,1199988.0
REGION,AGOCO1IMP00X,2027,1299987.0
REGION,AGOCO1IMP00X,2028,1399986.0
REGION,AGOCO1IMP00X,2029,1499985.0
REGION,AGOCO1IMP00X,2030,1599984.0
REGION,AGOCO1IMP00X,2031,1699983.0
REGION,AGOCO1IMP00X,2032,1799982.0
REGION,AGOCO1IMP00X,2033,1899981.0
REGION,AGOCO1IMP00X,2034,1999980.0
REGION,AGOCO1IMP00X,2035,2099979.0
REGION,AGOCO1IMP00X,2036,2199978.0
REGION,AGOCO1IMP00X,2037,2299977.0
REGION,AGOCO1IMP00X,2038,2399976.0
REGION,AGOCO1IMP00X,2039,2499975.0
REGION,AGOCO1IMP00X,2040,2599974.0
REGION,AGOCO1PRP00X,2015,99999.0
REGION,AGOCO1PRP00X,2016,199998.0
REGION,AGOCO1PRP00X,2017,299997.0
REGION,AGOCO1PRP00X,2018,399996.0
REGION,AGOCO1PRP00X,2019,499995.0
REGION,AGOCO1PRP00X,2020,599994.0
REGION,AGOCO1PRP00X,2021,699993.0
REGION,AGOCO1PRP00X,2022,799992.0
REGION,AGOCO1PRP00X,2023,899991.0
REGION,AGOCO1PRP00X,2024,999990.0
REGION,AGOCO1PRP00X,2025,1099989.0
REGION,AGOCO1PRP00X,2026,1199988.0
REGION,AGOCO1PRP00X,2027,1299987.0
REGION,AGOCO1PRP00X,2028,1399986.0
REGION,AGOCO1PRP00X,2029,1499985.0
REGION,AGOCO1PRP00X,2030,1599984.0
REGION,AGOCO1PRP00X,2031,1699983.0
REGION,AGOCO1PRP00X,2032,1799982.0
REGION,AGOCO1PRP00X,2033,1899981.0
REGION,AGOCO1PRP00X,2034,1999980.0
REGION,AGOCO1PRP00X,2035,2099979.0
REGION,AGOCO1PRP00X,2036,2199978.0
REGION,AGOCO1PRP00X,2037,2299977.0
REGION,AGOCO1PRP00X,2038,2399976.0
REGION,AGOCO1PRP00X,2039,2499975.0
REGION,AGOCO1PRP00X,2040,2599974.0
REGION,AGOCO1R1P00X,2015,999999.0
REGION,AGOCO1R1P00X,2016,1999998.0
REGION,AGOCO1R1P00X,2017,1999998.0
REGION,AGOCO1R1P00X,2018,1999998.0
REGION,AGOCO1R1P00X,2019,1999998.0
REGION,AGOCO1R1P00X,2020,1999998.0
REGION,AGOCO1R1P00X,2021,1999998.0
REGION,AGOCO1R1P00X,2022,1999998.0
REGION,AGOCO1R1P00X,2023,1999998.0
REGION,AGOCO1R1P00X,2024,1999998.0
REGION,AGOCO1R1P00X,2025,1999998.0
REGION,AGOCO1R1P00X,2026,1999998.0
REGION,AGOCO1R1P00X,2027,1999998.0
REGION,AGOCO1R1P00X,2028,1999998.0
REGION,AGOCO1R1P00X,2029,1999998.0
REGION,AGOCO1R1P00X,2030,1999998.0
REGION,AGOCO1R1P00X,2031,1999998.0
REGION,AGOCO1R1P00X,2032,1999998.0
REGION,AGOCO1R1P00X,2033,1999998.0
REGION,AGOCO1R1P00X,2034,1999998.0
REGION,AGOCO1R1P00X,2035,1999998.0
REGION,AGOCO1R1P00X,2036,1999998.0
REGION,AGOCO1R1P00X,2037,1999998.0
REGION,AGOCO1R1P00X,2038,1999998.0
REGION,AGOCO1R1P00X,2039,1999998.0
REGION,AGOCO1R1P00X,2040,1999998.0
REGION,AGOCO1R2P00X,2015,999999.0
REGION,AGOCO1R2P00X,2016,1999998.0
REGION,AGOCO1R2P00X,2017,1999998.0
REGION,AGOCO1R2P00X,2018,1999998.0
REGION,AGOCO1R2P00X,2019,1999998.0
REGION,AGOCO1R2P00X,2020,1999998.0
REGION,AGOCO1R2P00X,2021,1999998.0
REGION,AGOCO1R2P00X,2022,1999998.0
REGION,AGOCO1R2P00X,2023,1999998.0
REGION,AGOCO1R2P00X,2024,1999998.0
REGION,AGOCO1R2P00X,2025,1999998.0
REGION,AGOCO1R2P00X,2026,1999998.0
REGION,AGOCO1R2P00X,2027,1999998.0
REGION,AGOCO1R2P00X,2028,1999998.0
REGION,AGOCO1R2P00X,2029,1999998.0
REGION,AGOCO1R2P00X,2030,1999998.0
REGION,AGOCO1R2P00X,2031,1999998.0
REGION,AGOCO1R2P00X,2032,1999998.0
REGION,AGOCO1R2P00X,2033,1999998.0
REGION,AGOCO1R2P00X,2034,1999998.0
REGION,AGOCO1R2P00X,2035,1999998.0
REGION,AGOCO1R2P00X,2036,1999998.0
REGION,AGOCO1R2P00X,2037,1999998.0
REGION,AGOCO1R2P00X,2038,1999998.0
REGION,AGOCO1R2P00X,2039,1999998.0
REGION,AGOCO1R2P00X,2040,1999998.0
REGION,AGOCO1RCP00X,2015,145.173275
REGION,AGOCO1RCP00X,2016,145.173275
REGION,AGOCO1RCP00X,2017,145.173275
REGION,AGOCO1RCP00X,2018,145.173275
REGION,AGOCO1RCP00X,2019,145.173275
REGION,AGOCO1RCP00X,2020,1000144.173275
REGION,AGOCO1RCP00X,2021,2000143.173275
REGION,AGOCO1RCP00X,2022,2000143.173275
REGION,AGOCO1RCP00X,2023,2000143.173275
REGION,AGOCO1RCP00X,2024,2000143.173275
REGION,AGOCO1RCP00X,2025,2000128.6559475
REGION,AGOCO1RCP00X,2026,2000114.1386199999
REGION,AGOCO1RCP00X,2027,2000099.6212925
REGION,AGOCO1RCP00X,2028,2000085.103965
