r,t,y,TotalCapacityAnnual
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01N,2017,0.045
REGION,AGOBIOCHP01N,2018,0.045
REGION,AGOBIOCHP01N,2019,0.045
REGION,AGOBIOCHP01N,2020,0.045
REGION,AGOBIOCHP01N,2021,0.045
REGION,AGOBIOCHP01N,2022,0.045
REGION,AGOBIOCHP01N,2023,0.045
REGION,AGOBIOCHP01N,2024,0.045
REGION,AGOBIOCHP01N,2025,0.045
REGION,AGOBIOCHP01N,2026,0.045
REGION,AGOBIOCHP01N,2027,0.045
REGION,AGOBIOCHP01N,2028,0.045
REGION,AGOBIOCHP01N,2029,0.045
REGION,AGOBIOCHP01N,2030,0.045
REGION,AGOBIOCHP01N,2031,0.045
REGION,AGOBIOCHP01N,2032,0.045
REGION,AGOBIOCHP01N,2033,0.045
REGION,AGOBIOCHP01N,2034,0.045
REGION,AGOBIOCHP01N,2035,0.045
REGION,AGOBIOCHP01N,2036,0.045
REGION,AGOBIOCHP01N,2037,0.045
REGION,AGOBIOCHP01N,2038,0.045
REGION,AGOBIOCHP01N,2039,0.045
REGION,AGOBIOCHP01N,2040,0.045
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,99999.0
REGION,AGOBIODIP00X,2016,199998.0
REGION,AGOBIODIP00X,2017,299997.0
REGION,AGOBIODIP00X,2018,399996.0
REGION,AGOBIODIP00X,2019,499995.0
REGION,AGOBIODIP00X,2020,599994.0
REGION,AGOBIODIP00X,2021,699993.0
REGION,AGOBIODIP00X,2022,799992.0
REGION,AGOBIODIP00X,2023,899991.0
REGION,AGOBIODIP00X,2024,999990.0
REGION,AGOBIODIP00X,2025,1099989.0
REGION,AGOBIODIP00X,2026,1199988.0
REGION,AGOBIODIP00X,2027,1299987.0
REGION,AGOBIODIP00X,2028,1399986.0
REGION,AGOBIODIP00X,2029,1499985.0
REGION,AGOBIODIP00X,2030,1599984.0
REGION,AGOBIODIP00X,2031,1699983.0
REGION,AGOBIODIP00X,2032,1799982.0
REGION,AGOBIODIP00X,2033,1899981.0
REGION,AGOBIODIP00X,2034,1999980.0
REGION,AGOBIODIP00X,2035,2099979.0
REGION,AGOBIODIP00X,2036,2199978.0
REGION,AGOBIODIP00X,2037,2299977.0
REGION,AGOBIODIP00X,2038,2399976.0
REGION,AGOBIODIP00X,2039,2499975.0
REGION,AGOBIODIP00X,2040,2599974.0
REGION,AGOBIOIMP00X,2015,99999.0
REGION,AGOBIOIMP00X,2016,199998.0
REGION,AGOBIOIMP00X,2017,299997.0
REGION,AGOBIOIMP00X,2018,399996.0
REGION,AGOBIOIMP00X,2019,499995.0
REGION,AGOBIOIMP00X,2020,599994.0
REGION,AGOBIOIMP00X,2021,699993.0
REGION,AGOBIOIMP00X,2022,799992.0
REGION,AGOBIOIMP00X,2023,899991.0
REGION,AGOBIOIMP00X,2024,999990.0
REGION,AGOBIOIMP00X,2025,1099989.0
REGION,AGOBIOIMP00X,2026,1199988.0
REGION,AGOBIOIMP00X,2027,1299987.0
REGION,AGOBIOIMP00X,2028,1399986.0
REGION,AGOBIOIMP00X,2029,1499985.0
REGION,AGOBIOIMP00X,2030,1599984.0
REGION,AGOBIOIMP00X,2031,1699983.0
REGION,AGOBIOIMP00X,2032,1799982.0
REGION,AGOBIOIMP00X,2033,1899981.0
REGION,AGOBIOIMP00X,2034,1999980.0
REGION,AGOBIOIMP00X,2035,2099979.0
REGION,AGOBIOIMP00X,2036,2199978.0
REGION,AGOBIOIMP00X,2037,2299977.0
REGION,AGOBIOIMP00X,2038,2399976.0
REGION,AGOBIOIMP00X,2039,2499975.0
REGION,AGOBIOIMP00X,2040,2599974.0
REGION,AGOBIOPRP00X,2015,99999.0
REGION,AGOBIOPRP00X,2016,199998.0
REGION,AGOBIOPRP00X,2017,299997.0
REGION,AGOBIOPRP00X,2018,399996.0
REGION,AGOBIOPRP00X,2019,499995.0
REGION,AGOBIOPRP00X,2020,599994.0
REGION,AGOBIOPRP00X,2021,699993.0
REGION,AGOBIOPRP00X,2022,799992.0
REGION,AGOBIOPRP00X,2023,899991.0
REGION,AGOBIOPRP00X,2024,999990.0
REGION,AGOBIOPRP00X,2025,1099989.0
REGION,AGOBIOPRP00X,2026,1199988.0
REGION,AGOBIOPRP00X,2027,1299987.0
REGION,AGOBIOPRP00X,2028,1399986.0
REGION,AGOBIOPRP00X,2029,1499985.0
REGION,AGOBIOPRP00X,2030,1599984.0
REGION,AGOBIOPRP00X,2031,1699983.0
REGION,AGOBIOPRP00X,2032,1799982.0
REGION,AGOBIOPRP00X,2033,1899981.0
REGION,AGOBIOPRP00X,2034,1999980.0
REGION,AGOBIOPRP00X,2035,2099979.0
REGION,AGOBIOPRP00X,2036,2199978.0
REGION,AGOBIOPRP00X,2037,2299977.0
REGION,AGOBIOPRP00X,2038,2399976.0
REGION,AGOBIOPRP00X,2039,2499975.0
REGION,AGOBIOPRP00X,2040,2599974.0
REGION,AGOCO1DIP00X,2015,99999.0
REGION,AGOCO1DIP00X,2016,199998.0
REGION,AGOCO1DIP00X,2017,299997.0
REGION,AGOCO1DIP00X,2018,399996.0
REGION,AGOCO1DIP00X,2019,499995.0
REGION,AGOCO1DIP00X,2020,599994.0
REGION,AGOCO1DIP00X,2021,699993.0
REGION,AGOCO1DIP00X,2022,799992.0
REGION,AGOCO1DIP00X,2023,899991.0
REGION,AGOCO1DIP00X,2024,999990.0
REGION,AGOCO1DIP00X,2025,1099989.0
REGION,AGOCO1DIP00X,2026,1199988.0
REGION,AGOCO1DIP00X,2027,1299987.0
REGION,AGOCO1DIP00X,2028,1399986.0
REGION,AGOCO1DIP00X,2029,1499985.0
REGION,AGOCO1DIP00X,2030,1599984.0
REGION,AGOCO1DIP00X,2031,1699983.0
REGION,AGOCO1DIP00X,2032,1799982.0
REGION,AGOCO1DIP00X,2033,1899981.0
REGION,AGOCO1DIP00X,2034,1999980.0
REGION,AGOCO1DIP00X,2035,2099979.0
REGION,AGOCO1DIP00X,2036,2199978.0
REGION,AGOCO1DIP00X,2037,2299977.0
REGION,AGOCO1DIP00X,2038,2399976.0
REGION,AGOCO1DIP00X,2039,2499975.0
REGION,AGOCO1DIP00X,2040,2599974.0
REGION,AGOCO1EXP00X,2015,99999.0
REGION,AGOCO1EXP00X,2016,199998.0
REGION,AGOCO1EXP00X,2017,299997.0
REGION,AGOCO1EXP00X,2018,399996.0
REGION,AGOCO1EXP00X,2019,499995.0
REGION,AGOCO1EXP00X,2020,599994.0
REGION,AGOCO1EXP00X,2021,699993.0
REGION,AGOCO1EXP00X,2022,799992.0
REGION,AGOCO1EXP00X,2023,899991.0
REGION,AGOCO1EXP00X,2024,999990.0
REGION,AGOCO1EXP00X,2025,1099989.0
REGION,AGOCO1EXP00X,2026,1199988.0
REGION,AGOCO1EXP00X,2027,1299987.0
REGION,AGOCO1EXP00X,2028,1399986.0
REGION,AGOCO1EXP00X,2029,1499985.0
REGION,AGOCO1EXP00X,2030,1599984.0
REGION,AGOCO1EXP00X,2031,1699983.0
REGION,AGOCO1EXP00X,2032,1799982.0
REGION,AGOCO1EXP00X,2033,1899981.0
REGION,AGOCO1EXP00X,2034,1999980.0
REGION,AGOCO1EXP00X,2035,2099979.0
REGION,AGOCO1EXP00X,2036,2199978.0
REGION,AGOCO1EXP00X,2037,2299977.0
REGION,AGOCO1EXP00X,2038,2399976.0
REGION,AGOCO1EXP00X,2039,2499975.0
REGION,AGOCO1EXP00X,2040,2599974.0
REGION,AGOCO1IMP00X,2015,99999.0
REGION,AGOCO1IMP00X,2016,199998.0
REGION,AGOCO1IMP00X,2017,299997.0
REGION,AGOCO1IMP00X,2018,399996.0
REGION,AGOCO1IMP00X,2019,499995.0
REGION,AGOCO1IMP00X,2020,599994.0
REGION,AGOCO1IMP00X,2021,699993.0
REGION,AGOCO1IMP00X,2022,799992.0
REGION,AGOCO1IMP00X,2023,899991.0
REGION,AGOCO1IMP00X,2024,999990.0
REGION,AGOCO1IMP00X,2025,1099989.0
REGION,AGOCO1IMP00X,2026,1199988.0
REGION,AGOCO1IMP00X,2027,1299987.0
REGION,AGOCO1IMP00X,2028,1399986.0
REGION,AGOCO1IMP00X,2029,1499985.0
REGION,AGOCO1IMP00X,2030,1599984.0
REGION,AGOCO1IMP00X,2031,1699983.0
REGION,AGOCO1IMP00X,2032,1799982.0
REGION,AGOCO1IMP00X,2033,1899981.0
REGION,AGOCO1IMP00X,2034,1999980.0
REGION,AGOCO1IMP00X,2035,2099979.0
REGION,AGOCO1IMP00X,2036,2199978.0
REGION,AGOCO1IMP00X,2037,2299977.0
REGION,AGOCO1IMP00X,2038,2399976.0
REGION,AGOCO1IMP00X,2039,2499975.0
REGION,AGOCO1IMP00X,2040,2599974.0
REGION,AGOCO1PRP00X,2015,99999.0
REGION,AGOCO1PRP00X,2016,199998.0
REGION,AGOCO1PRP00X,2017,299997.0
REGION,AGOCO1PRP00X,2018,399996.0
REGION,AGOCO1PRP00X,2019,499995.0
REGION,AGOCO1PRP00X,2020,599994.0
REGION,AGOCO1PRP00X,2021,699993.0
REGION,AGOCO1PRP00X,2022,799992.0
REGION,AGOCO1PRP00X,2023,899991.0
REGION,AGOCO1PRP00X,2024,999990.0
REGION,AGOCO1PRP00X,2025,1099989.0
REGION,AGOCO1PRP00X,2026,1199988.0
REGION,AGOCO1PRP00X,2027,1299987.0
REGION,AGOCO1PRP00X,2028,1399986.0
REGION,AGOCO1PRP00X,2029,1499985.0
REGION,AGOCO1PRP00X,2030,1599984.0
REGION,AGOCO1PRP00X,2031,1699983.0
REGION,AGOCO1PRP00X,2032,1799982.0
REGION,AGOCO1PRP00X,2033,1899981.0
REGION,AGOCO1PRP00X,2034,1999980.0
REGION,AGOCO1PRP00X,2035,2099979.0
REGION,AGOCO1PRP00X,2036,2199978.0
REGION,AGOCO1PRP00X,2037,2299977.0
REGION,AGOCO1PRP00X,2038,2399976.0
REGION,AGOCO1PRP00X,2039,2499975.0
REGION,AGOCO1PRP00X,2040,2599974.0
REGION,AGOCO1R1P00X,2015,737.0856938607446
REGION,AGOCO1R1P00X,2016,737.0856938607446
REGION,AGOCO1R1P00X,2017,737.0856938607446
REGION,AGOCO1R1P00X,2018,737.0856938607446
REGION,AGOCO1R1P00X,2019,737.0856938607446
REGION,AGOCO1R1P00X,2020,737.0856938607446
REGION,AGOCO1R1P00X,2021,737.0856938607446
REGION,AGOCO1R1P00X,2022,737.0856938607446
REGION,AGOCO1R1P00X,2023,737.0856938607423
REGION,AGOCO1R1P00X,2024,737.0856938607423
REGION,AGOCO1R1P00X,2025,737.0856938607423
REGION,AGOCO1R1P00X,2026,737.0856938607423
REGION,AGOCO1R1P00X,2027,1016.6689986999701
REGION,AGOCO1R1P00X,2028,1148.1320191990476
REGION,AGOCO1R1P00X,2029,1832.3251670112304
REGION,AGOCO1R1P00X,2030,1849.3190491689556
REGION,AGOCO1R1P00X,2031,1849.3190491689556
REGION,AGOCO1R1P00X,2032,1849.3190491689556
REGION,AGOCO1R1P00X,2033,1849.3190491689556
REGION,AGOCO1R1P00X,2034,1849.3190491689556
REGION,AGOCO1R1P00X,2035,1849.3190491689556
REGION,AGOCO1R1P00X,2036,1849.3190491689556
REGION,AGOCO1R1P00X,2037,1849.3190491689556
REGION,AGOCO1R1P00X,2038,1849.3190491689556
REGION,AGOCO1R1P00X,2039,1849.3190491689556
REGION,AGOCO1R1P00X,2040,1849.3190491689556
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,145.173275
REGION,AGOCO1RCP00X,2016,145.173275
REGION,AGOCO1RCP00X,2017,145.173275
REGION,AGOCO1RCP00X,2018,145.173275
REGION,AGOCO1RCP00X,2019,145.173275
REGION,AGOCO1RCP00X,2020,744.5310038997424
REGION,AGOCO1RCP00X,2021,744.5310038997424
REGION,AGOCO1RCP00X,2022,744.5310038997424
REGION,AGOCO1RCP00X,2023,744.5310038997424
REGION,AGOCO1RCP00X,2024,744.5310038997424
REGION,AGOCO1RCP00X,2025,730.0136763997424
REGION,AGOCO1RCP00X,2026,1939.194839529434
REGION,AGOCO1RCP00X,2027,1924.677512029434
REGION,AGOCO1RCP00X,2028,1910.160184529434
REGION,AGOCO1RCP00X,2029,1895.642857029434
REGION,AGOCO1RCP00X,2030,1881.125529529434
REGION,AGOCO1RCP00X,2031,1866.6082020294339
REGION,AGOCO1RCP00X,2032,1852.0908745294341
REGION,AGOCO1RCP00X,2033,1837.573547029434
REGION,AGOCO1RCP00X,2034,1823.056219529434
REGION,AGOCO1RCP00X,2035,1823.056219529434
REGION,AGOCO1RCP00X,2036,1823.056219529434
REGION,AGOCO1RCP00X,2037,1823.056219529434
REGION,AGOCO1RCP00X,2038,1823.056219529434
REGION,AGOCO1RCP00X,2039,1823.056219529434
REGION,AGOCO1RCP00X,2040,1867.9990395646084
REGION,AGOCOADIP00X,2015,99999.0
REGION,AGOCOADIP00X,2016,199998.0
REGION,AGOCOADIP00X,2017,299997.0
REGION,AGOCOADIP00X,2018,399996.0
REGION,AGOCOADIP00X,2019,499995.0
REGION,AGOCOADIP00X,2020,599994.0
REGION,AGOCOADIP00X,2021,699993.0
REGION,AGOCOADIP00X,2022,799992.0
REGION,AGOCOADIP00X,2023,899991.0
REGION,AGOCOADIP00X,2024,999990.0
