Country,y,f,Total annual production (GWh),Source
GIN,2020.0,HFO,1606.9166679522002,Heavy Fuel Oil
GIN,2020.0,HYD,2640.7777798904003,Hydropower
GIN,2020.0,Imports (LBR),24.4722222418,Imports (LBR)
GIN,2020.0,Imports (SEN),127.0277778794,Imports (SEN)
GIN,2020.0,Imports (SLE),199.83333349320003,Imports (SLE)
GIN,2020.0,LFO,82.361111177,Light Fuel Oil
GIN,2021.0,HFO,1315.5277788302,Heavy Fuel Oil
GIN,2021.0,HYD,6007.027782583401,Hydropower
GIN,2021.0,LFO,78.22222228480001,Light Fuel Oil
GIN,2022.0,HFO,1283.6666676936,Heavy Fuel Oil
GIN,2022.0,HYD,6007.027782583401,Hydropower
GIN,2022.0,LFO,74.11111117040001,Light Fuel Oil
GIN,2023.0,HFO,1365.8888899816002,Heavy Fuel Oil
GIN,2023.0,HYD,6047.666671504801,Hydropower
GIN,2023.0,LFO,70.000000056,Light Fuel Oil
GIN,2024.0,HFO,1285.555556584,Heavy Fuel Oil
GIN,2024.0,HYD,6047.666671504801,Hydropower
GIN,2024.0,LFO,65.8888889416,Light Fuel Oil
GIN,2025.0,HFO,1205.1944454086,Heavy Fuel Oil
GIN,2025.0,HYD,6047.666671504801,Hydropower
GIN,2025.0,LFO,61.7777778272,Light Fuel Oil
GIN,2026.0,HFO,1124.8611120110002,Heavy Fuel Oil
GIN,2026.0,HYD,6047.666671504801,Hydropower
GIN,2026.0,LFO,57.6111111572,Light Fuel Oil
GIN,2027.0,HFO,1044.5000008356,Heavy Fuel Oil
GIN,2027.0,HYD,6047.666671504801,Hydropower
GIN,2027.0,Imports (GNB),0.0277777778,Imports (GNB)
GIN,2027.0,LFO,53.5000000428,Light Fuel Oil
GIN,2028.0,HFO,964.166667438,Heavy Fuel Oil
GIN,2028.0,HYD,6584.0000052672,Hydropower
GIN,2028.0,Imports (GNB),51.3611111522,Imports (GNB)
GIN,2028.0,Imports (SEN),100.7222223028,Imports (SEN)
GIN,2028.0,LFO,49.3611111506,Light Fuel Oil
GIN,2029.0,HFO,883.8055562626001,Heavy Fuel Oil
GIN,2029.0,HYD,6584.0000052672,Hydropower
GIN,2029.0,Imports (GNB),13.3055555662,Imports (GNB)
GIN,2029.0,Imports (SLE),2.1666666684,Imports (SLE)
GIN,2029.0,LFO,45.2500000362,Light Fuel Oil
GIN,2030.0,HFO,803.472222865,Heavy Fuel Oil
GIN,2030.0,HYD,6584.0000052672,Hydropower
GIN,2030.0,Imports (LBR),31.0555555804,Imports (LBR)
GIN,2030.0,LFO,41.1388889218,Light Fuel Oil
GIN,2030.0,SOL,47.9722222606,Solar
