Country,y,f,Total annual production (GWh),Source
AGO,2020.0,HFO,320.4722224786,Heavy Fuel Oil
AGO,2020.0,HYD,14359.388900376402,Hydropower
AGO,2020.0,LFO,1137.5277786877998,Light Fuel Oil
AGO,2020.0,NGA,119.2777778732,Natural Gas
AGO,2020.0,SOL,17.277777791600002,Solar
AGO,2021.0,BIO,197.9722223806,Biomass
AGO,2021.0,HFO,304.44444468800003,Heavy Fuel Oil
AGO,2021.0,HYD,15600.9166791474,Hydropower
AGO,2021.0,LFO,1074.861111971,Light Fuel Oil
AGO,2021.0,NGA,113.333333424,Natural Gas
AGO,2021.0,SOL,16.444444457600003,Solar
AGO,2022.0,BIO,197.9722223806,Biomass
AGO,2022.0,HFO,288.41666689740003,Heavy Fuel Oil
AGO,2022.0,HYD,15600.9166791474,Hydropower
AGO,2022.0,Imports (COD),156.97222234780003,Imports (COD)
AGO,2022.0,LFO,1024.2222230416,Light Fuel Oil
AGO,2022.0,NGA,1120.7222231188,Natural Gas
AGO,2022.0,SOL,15.6111111236,Solar
AGO,2023.0,BIO,197.9722223806,Biomass
AGO,2023.0,HFO,272.38888910680004,Heavy Fuel Oil
AGO,2023.0,HYD,15600.9166791474,Hydropower
AGO,2023.0,Imports (COD),1150.3888898092,Imports (COD)
AGO,2023.0,LFO,967.3333341072,Light Fuel Oil
AGO,2023.0,NGA,2736.7777799672,Natural Gas
AGO,2023.0,SOL,14.7777777896,Solar
AGO,2024.0,BIO,197.9722223806,Biomass
AGO,2024.0,HFO,256.36111131620004,Heavy Fuel Oil
AGO,2024.0,HYD,24630.3055752598,Hydropower
AGO,2024.0,LFO,910.4722229506,Light Fuel Oil
AGO,2024.0,NGA,95.416666743,Natural Gas
AGO,2024.0,SOL,13.9444444556,Solar
AGO,2025.0,BIO,197.9722223806,Biomass
AGO,2025.0,HFO,240.3333335256,Heavy Fuel Oil
AGO,2025.0,HYD,24630.3055752598,Hydropower
AGO,2025.0,LFO,853.888889572,Light Fuel Oil
AGO,2025.0,NGA,982.1666674524,Natural Gas
AGO,2025.0,SOL,13.0833333438,Solar
AGO,2026.0,BIO,197.9722223806,Biomass
AGO,2026.0,HFO,224.3333335128,Heavy Fuel Oil
AGO,2026.0,HYD,24630.3055752598,Hydropower
AGO,2026.0,LFO,793.6944450794,Light Fuel Oil
AGO,2026.0,NGA,2115.7222239148,Natural Gas
AGO,2026.0,SOL,12.2500000098,Solar
AGO,2027.0,BIO,197.9722223806,Biomass
AGO,2027.0,HFO,433.9444447916,Heavy Fuel Oil
AGO,2027.0,HYD,24630.3055752598,Hydropower
AGO,2027.0,LFO,737.1388894786,Light Fuel Oil
AGO,2027.0,NGA,3340.5000026724,Natural Gas
AGO,2027.0,SOL,11.4166666758,Solar
AGO,2028.0,BIO,197.9722223806,Biomass
AGO,2028.0,HFO,400.5833336538,Heavy Fuel Oil
AGO,2028.0,HYD,24630.3055752598,Hydropower
AGO,2028.0,Imports (COD),618.7222227172,Imports (COD)
AGO,2028.0,LFO,678.8611116542,Light Fuel Oil
AGO,2028.0,NGA,3702.7222251844,Natural Gas
AGO,2028.0,SOL,10.5833333418,Solar
AGO,2029.0,BIO,197.9722223806,Biomass
AGO,2029.0,HFO,367.1944447382001,Heavy Fuel Oil
AGO,2029.0,HYD,24630.3055752598,Hydropower
AGO,2029.0,Imports (COD),226.75000018140005,Imports (COD)
AGO,2029.0,LFO,622.3055560534,Light Fuel Oil
AGO,2029.0,NGA,5992.361115905001,Natural Gas
AGO,2029.0,SOL,9.7500000078,Solar
AGO,2030.0,BIO,197.9722223806,Biomass
AGO,2030.0,HFO,333.8055558226,Heavy Fuel Oil
AGO,2030.0,HYD,24630.3055752598,Hydropower
AGO,2030.0,Imports (COD),1291.0555565884,Imports (COD)
AGO,2030.0,LFO,565.7222226748,Light Fuel Oil
AGO,2030.0,NGA,7061.5000056492,Natural Gas
AGO,2030.0,SOL,8.9166666738,Solar
