Country,y,f,Total installed capacity (GW),Source
TCD,2020,HFO,0.17775,Heavy Fuel Oil
TCD,2020,LFO,0.0418847903979451,Light Fuel Oil
TCD,2020,SOL,0.04,Solar
TCD,2020,WIN,0.001,Wind
TCD,2021,HFO,0.1688625,Heavy Fuel Oil
TCD,2021,LFO,0.0399110403979451,Light Fuel Oil
TCD,2021,SOL,0.0831820505235358,Solar
TCD,2021,WIN,0.001,Wind
TCD,2022,HFO,0.159975,Heavy Fuel Oil
TCD,2022,LFO,0.0379372903979451,Light Fuel Oil
TCD,2022,SOL,0.1211743677683769,Solar
TCD,2022,WIN,0.001,Wind
TCD,2023,HFO,0.1510875,Heavy Fuel Oil
TCD,2023,LFO,0.0359635403979451,Light Fuel Oil
TCD,2023,SOL,0.1536726853818374,Solar
TCD,2023,WIN,0.001,Wind
TCD,2024,HFO,0.1422,Heavy Fuel Oil
TCD,2024,LFO,0.0339897903979451,Light Fuel Oil
TCD,2024,SOL,0.2225992700221935,Solar
TCD,2024,WIN,0.001,Wind
TCD,2025,HFO,0.1333125,Heavy Fuel Oil
TCD,2025,LFO,0.0320160403979451,Light Fuel Oil
TCD,2025,SOL,0.6801103367239156,Solar
TCD,2025,WIN,0.001,Wind
TCD,2026,HFO,0.124425,Heavy Fuel Oil
TCD,2026,LFO,0.0296970192980309,Light Fuel Oil
TCD,2026,SOL,1.180110336723916,Solar
TCD,2026,WIN,0.001,Wind
TCD,2027,HFO,0.1155375,Heavy Fuel Oil
TCD,2027,LFO,0.0277232692980309,Light Fuel Oil
TCD,2027,SOL,1.680110336723916,Solar
TCD,2027,WIN,0.001,Wind
TCD,2028,HFO,0.10665,Heavy Fuel Oil
TCD,2028,LFO,0.023685,Light Fuel Oil
TCD,2028,SOL,2.080059260742765,Solar
TCD,2028,WIN,0.001,Wind
TCD,2029,HFO,0.0977625,Heavy Fuel Oil
TCD,2029,LFO,0.02171125,Light Fuel Oil
TCD,2029,SOL,2.4816846849853467,Solar
TCD,2029,WIN,0.001,Wind
TCD,2030,HFO,0.088875,Heavy Fuel Oil
TCD,2030,LFO,0.0197375,Light Fuel Oil
TCD,2030,SOL,2.8954404147439115,Solar
TCD,2030,WIN,0.001,Wind
